Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Jofre Carreras,2026-01-11,Levante UD,Espanyol,6.7,69,7452.0,14.0,108.0,0,0,0.2,0.06,18,22,2,0,0,0,4,33,0,1.88,24
Jofre Carreras,2026-01-16,Espanyol,Girona FC,7.1,45,4860.0,9.0,108.0,0,0,0.23,0.21,10,12,2,0,1,0,1,32,0,1.85,24
Jofre Carreras,2026-01-24,Valencia,Espanyol,6.7,70,7560.0,14.0,108.0,0,0,0.09,0.57,14,16,2,0,0,0,1,35,0,1.85,24
Jofre Carreras,2026-01-30,Espanyol,Deportivo Alavés,6.0,57,6156.0,11.0,108.0,0,0,0.0,0.0,7,11,0,0,1,0,4,29,0,1.79,24
Jofre Carreras,2026-02-09,Villarreal,Espanyol,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,24
Jofre Carreras,2026-02-14,Espanyol,Celta Vigo,6.5,18,1944.0,4.0,108.0,0,0,0.0,0.0,6,7,0,0,0,0,1,9,0,2.06,24
Jofre Carreras,2026-02-21,Atlético Madrid,Espanyol,6.8,77,8316.0,15.0,108.0,1,0,0.97,0.01,15,20,0,0,0,0,1,28,0,1.8,24
Jofre Carreras,2026-03-01,Elche,Espanyol,6.4,32,3456.0,6.0,108.0,0,0,0.02,0.04,4,5,1,0,0,0,0,8,0,1.74,24
Jofre Carreras,2026-03-09,Espanyol,Real Oviedo,6.5,11,1188.0,2.0,108.0,0,0,0.08,0.04,1,1,1,0,0,0,0,7,0,1.68,24
Jofre Carreras,2026-03-15,Mallorca,Espanyol,6.8,9,972.0,2.0,108.0,0,0,0.0,0.0,2,2,0,0,1,0,0,7,0,2.06,24
Jofre Carreras,2026-03-21,Espanyol,Getafe,6.4,12,1296.0,2.0,108.0,0,0,0.0,0.0,3,3,0,0,0,0,0,9,0,1.54,24
Jofre Carreras,2026-04-04,Real Betis,Espanyol,6.3,12,1296.0,2.0,108.0,0,0,0.01,0.0,0,1,0,0,0,0,1,5,0,1.54,24
Jofre Carreras,2026-04-11,FC Barcelona,Espanyol,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,24
Jofre Carreras,2026-04-23,Rayo Vallecano,Espanyol,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,24
Jofre Carreras,2026-04-27,Espanyol,Levante UD,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,24
