Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
João Cancelo,31,2026-05-13,Deportivo Alavés,FC Barcelona,6.6,11,,,0.0,0,0,0.0,0.03,11,12,0,0,0,0,0,14
João Cancelo,31,2026-05-10,FC Barcelona,Real Madrid,7.0,90,,,0.0,0,0,0.0,0.14,23,26,1,0,0,0,2,37
João Cancelo,31,2026-05-02,Osasuna,FC Barcelona,7.1,90,,,0.0,0,0,0.0,0.13,53,62,1,0,0,0,7,82
João Cancelo,31,2026-04-25,Getafe,FC Barcelona,7.6,90,,,0.0,0,0,0.0,0.25,46,56,3,0,0,0,3,80
João Cancelo,31,2026-04-22,FC Barcelona,Celta Vigo,6.8,23,,,0.0,0,0,0.0,0.0,8,9,0,0,0,0,2,15
João Cancelo,31,2026-04-14,Atlético Madrid,FC Barcelona,6.8,89,,,0.0,0,0,0.0,0.06,51,58,0,0,0,0,5,82
João Cancelo,31,2026-04-11,FC Barcelona,Espanyol,7.1,26,,,0.0,0,0,0.05,0.02,23,24,0,0,0,0,3,31
João Cancelo,31,2026-04-08,FC Barcelona,Atlético Madrid,6.4,86,,,0.0,0,0,0.08,0.08,49,56,1,0,1,0,5,76
João Cancelo,31,2026-04-04,Atlético Madrid,FC Barcelona,6.6,90,,,0.0,0,0,0.1,0.18,43,48,3,0,1,0,7,73
João Cancelo,31,2026-04-01,USA,Portugal,6.4,45,,,0.0,0,0,0.0,0.0,12,15,0,0,1,0,1,26
João Cancelo,31,2026-03-29,Mexico,Portugal,6.9,45,,,0.0,0,0,0.0,0.0,24,27,0,0,0,0,0,39
João Cancelo,31,2026-03-22,FC Barcelona,Rayo Vallecano,8.0,89,,,0.0,0,0,0.02,0.25,26,30,2,0,2,0,6,64
João Cancelo,31,2026-03-18,FC Barcelona,Newcastle United,6.7,66,,,0.0,0,0,0.0,0.25,25,31,0,0,1,0,3,55
João Cancelo,31,2026-03-15,FC Barcelona,Sevilla,8.3,66,,,0.0,1,0,0.11,0.02,18,24,0,0,1,0,2,41
João Cancelo,31,2026-03-10,Newcastle United,FC Barcelona,6.6,90,,,0.0,0,0,0.05,0.01,28,36,0,0,2,0,3,62
