Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Abdel Rahim,24,2026-01-04,Deportivo Alavés,Real Oviedo,7.0,90,9720.0,18.0,108.0,0,0,0.0,0.02,26,35,2,0,4,0,9,66,0.0,1.85
Abdel Rahim,24,2026-01-10,Real Oviedo,Real Betis,6.7,90,9720.0,18.0,108.0,0,0,0.0,0.07,31,40,2,0,0,0,7,68,0.0,1.85
Abdel Rahim,24,2026-01-17,Osasuna,Real Oviedo,6.2,90,9720.0,18.0,108.0,0,0,0.03,0.01,27,36,0,0,0,0,4,64,0.0,1.85
Abdel Rahim,24,2026-02-15,Real Oviedo,Athletic Club,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Abdel Rahim,24,2026-02-21,Real Sociedad,Real Oviedo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Abdel Rahim,24,2026-02-28,Real Oviedo,Atlético Madrid,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Abdel Rahim,24,2026-03-04,Rayo Vallecano,Real Oviedo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Abdel Rahim,24,2026-03-09,Espanyol,Real Oviedo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Abdel Rahim,24,2026-03-14,Real Oviedo,Valencia,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Abdel Rahim,24,2026-03-21,Levante UD,Real Oviedo,6.5,26,2808.0,5.0,108.0,0,0,0.0,0.0,12,18,0,0,0,0,2,33,0.0,1.78
Abdel Rahim,24,2026-04-05,Real Oviedo,Sevilla,6.7,9,972.0,2.0,108.0,0,0,0.0,0.0,2,2,0,0,0,0,0,2,0.0,2.06
Abdel Rahim,24,2026-04-12,Celta Vigo,Real Oviedo,6.6,12,1296.0,2.0,108.0,0,0,0.0,0.0,2,3,0,0,1,0,0,7,0.0,1.54
Abdel Rahim,24,2026-04-23,Real Oviedo,Villarreal,6.6,8,864.0,2.0,108.0,0,0,0.0,0.0,3,7,0,0,1,0,0,10,0.0,2.31
Abdel Rahim,24,2026-04-26,Real Oviedo,Elche,6.0,58,6264.0,12.0,108.0,0,0,0.0,0.18,17,22,0,0,1,0,1,37,0.0,1.92
Abdel Rahim,24,2026-05-03,Real Betis,Real Oviedo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,
Abdel Rahim,24,2026-05-10,Real Oviedo,Getafe,7.2,33,,,0.0,0,0,0.01,0.01,13,17,2,0,3,0,2,30,,
Abdel Rahim,24,2026-05-14,Real Madrid,Real Oviedo,6.1,90,,,0.0,0,0,0.0,0.06,24,25,1,0,1,0,4,41,,
