Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Marcão,2025-08-25,Sevilla,Getafe,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,29
Marcão,2025-08-30,Girona FC,Sevilla,6.8,12,1296.0,2.0,108.0,0,0,0.0,0.0,0,0,0,0,0,0,0,4,0,1.54,29
Marcão,2025-09-12,Sevilla,Elche,6.5,90,9720.0,18.0,108.0,0,0,0.06,0.01,35,38,0,0,0,0,4,54,0,1.85,29
Marcão,2025-09-20,Deportivo Alavés,Sevilla,6.3,90,9720.0,18.0,108.0,0,0,0.03,0.02,35,42,0,0,1,0,1,56,0,1.85,29
Marcão,2025-09-23,Sevilla,Villarreal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,29
Marcão,2025-09-28,Rayo Vallecano,Sevilla,7.7,90,9720.0,18.0,108.0,0,0,0.0,0.02,18,19,0,0,0,0,3,30,0,1.85,29
Marcão,2025-10-05,Sevilla,FC Barcelona,6.4,90,9720.0,18.0,108.0,0,0,0.12,0.0,18,22,0,0,1,0,5,34,0,1.85,29
Marcão,2025-10-18,Sevilla,Mallorca,5.8,90,9720.0,18.0,108.0,0,0,0.19,0.0,40,47,0,0,1,0,2,64,0,1.85,29
Marcão,2025-10-24,Real Sociedad,Sevilla,6.3,90,9720.0,18.0,108.0,0,0,0.0,0.01,47,53,0,0,0,0,4,64,0,1.85,29
Marcão,2025-10-28,CD Toledo,Sevilla,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,29
Marcão,2025-11-01,Atlético Madrid,Sevilla,6.2,90,9720.0,18.0,108.0,0,0,0.0,0.0,57,64,0,0,0,0,5,77,0,1.85,29
Marcão,2025-11-08,Sevilla,Osasuna,7.6,90,9720.0,18.0,108.0,0,0,0.01,0.0,26,31,0,0,1,0,1,45,0,1.85,29
Marcão,2025-11-24,Espanyol,Sevilla,7.0,90,9720.0,18.0,108.0,0,0,0.3,0.0,48,55,0,0,0,0,2,72,0,1.85,29
Marcão,2025-11-30,Sevilla,Real Betis,6.6,45,4860.0,9.0,108.0,0,0,0.0,0.0,19,26,0,0,0,0,5,30,0,1.85,29
Marcão,2025-12-20,Real Madrid,Sevilla,6.2,68,7344.0,14.0,108.0,0,0,0.0,0.0,44,48,0,0,1,0,0,57,0,1.91,29
