Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Umar Sadiq,29,2026-01-18,Getafe,Valencia,6.3,29,3132.0,6.0,108.0,0,0,0.05,0.0,2,4,0,0,0,0,2,15,0.0,1.92
Umar Sadiq,29,2026-01-24,Valencia,Espanyol,7.0,26,2808.0,5.0,108.0,0,0,0.03,0.2,3,6,1,0,0,0,2,16,0.0,1.78
Umar Sadiq,29,2026-02-01,Real Betis,Valencia,6.1,19,2052.0,4.0,108.0,0,0,0.02,0.0,3,5,0,0,0,0,0,10,0.0,1.95
Umar Sadiq,29,2026-02-04,Valencia,Athletic Club,6.3,59,6372.0,12.0,108.0,1,0,0.0,0.0,3,7,0,0,1,0,0,19,0.0,1.88
Umar Sadiq,29,2026-02-08,Valencia,Real Madrid,6.4,8,864.0,2.0,108.0,0,0,0.0,0.01,2,3,1,0,0,0,0,4,0.0,2.31
Umar Sadiq,29,2026-02-15,Levante UD,Valencia,7.4,32,3456.0,6.0,108.0,1,0,0.39,0.01,6,10,0,0,0,0,2,17,0.0,1.74
Umar Sadiq,29,2026-02-22,Villarreal,Valencia,6.6,90,9720.0,18.0,108.0,0,0,0.16,0.02,7,16,1,0,0,0,1,28,0.0,1.85
Umar Sadiq,29,2026-03-01,Valencia,Osasuna,7.9,89,9612.0,18.0,108.0,0,0,0.06,0.09,11,11,0,0,1,0,4,26,0.0,1.87
Umar Sadiq,29,2026-03-08,Valencia,Deportivo Alavés,6.8,90,9720.0,18.0,108.0,0,0,0.45,0.38,12,16,2,0,0,0,5,43,0.0,1.85
Umar Sadiq,29,2026-03-14,Real Oviedo,Valencia,6.5,56,6048.0,11.0,108.0,0,0,0.03,0.01,4,6,0,0,0,0,1,15,0.0,1.82
Umar Sadiq,29,2026-03-21,Sevilla,Valencia,6.5,23,2484.0,5.0,108.0,0,0,0.0,0.0,5,8,0,0,0,0,1,12,0.0,2.01
Umar Sadiq,29,2026-04-05,Valencia,Celta Vigo,7.2,27,2916.0,5.0,108.0,0,0,0.15,0.53,4,6,1,0,0,0,2,16,0.0,1.71
Umar Sadiq,29,2026-04-11,Elche,Valencia,6.2,61,6588.0,12.0,108.0,0,0,0.32,0.01,6,8,1,0,0,0,2,23,0.0,1.82
Umar Sadiq,29,2026-04-21,Mallorca,Valencia,6.9,90,9720.0,18.0,108.0,1,0,0.61,0.05,12,16,1,0,0,0,0,35,0.0,1.85
Umar Sadiq,29,2026-04-25,Valencia,Girona FC,6.8,71,7668.0,14.0,108.0,1,0,0.44,0.0,7,10,0,0,0,0,1,31,0.0,1.83
Umar Sadiq,29,2026-05-02,Valencia,Atlético Madrid,6.1,90,,,0.0,0,0,0.31,0.01,12,15,0,0,0,0,0,27,,
Umar Sadiq,29,2026-05-10,Athletic Club,Valencia,7.5,20,,,0.0,1,0,0.18,0.0,1,4,0,0,0,0,0,13,,
Umar Sadiq,29,2026-05-14,Valencia,Rayo Vallecano,6.2,29,,,0.0,0,0,0.0,0.03,1,2,0,0,0,0,1,14,,
