Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Arnau Tenas,24,2026-01-31,Osasuna,Villarreal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Arnau Tenas,24,2026-02-09,Villarreal,Espanyol,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Arnau Tenas,24,2026-02-14,Getafe,Villarreal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Arnau Tenas,24,2026-02-18,Levante UD,Villarreal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Arnau Tenas,24,2026-02-22,Villarreal,Valencia,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Arnau Tenas,24,2026-02-28,FC Barcelona,Villarreal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Arnau Tenas,24,2026-03-08,Villarreal,Elche,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Arnau Tenas,24,2026-03-13,Deportivo Alavés,Villarreal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Arnau Tenas,24,2026-03-20,Villarreal,Real Sociedad,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Arnau Tenas,24,2026-04-06,Girona FC,Villarreal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Arnau Tenas,24,2026-04-12,Athletic Club,Villarreal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Arnau Tenas,24,2026-04-23,Real Oviedo,Villarreal,7.4,90,9720.0,18.0,108.0,0,0,0.0,0.0,20,32,0,0,0,0,16,46,0.0,1.85
Arnau Tenas,24,2026-04-26,Villarreal,Celta Vigo,7.1,90,9720.0,18.0,108.0,0,0,0.0,0.0,23,31,0,0,0,0,6,39,0.0,1.85
Arnau Tenas,24,2026-05-02,Villarreal,Levante UD,6.5,90,,,0.0,0,0,0.0,0.0,12,18,0,0,0,0,9,28,,
Arnau Tenas,24,2026-05-10,Mallorca,Villarreal,8.9,90,,,0.0,0,0,0.0,0.0,17,31,0,0,0,0,13,51,,
Arnau Tenas,24,2026-05-13,Villarreal,Sevilla,6.1,90,,,0.0,0,0,0.0,0.0,22,24,0,0,0,0,11,38,,
