Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Pape Gueye,27,2026-02-09,Villarreal,Espanyol,6.4,90,9720.0,18.0,108.0,0,0,0.0,0.01,22,28,0,0,2,0,3,45,0.0,1.85
Pape Gueye,27,2026-02-14,Getafe,Villarreal,7.2,90,9720.0,18.0,108.0,0,0,0.05,0.09,24,33,1,0,0,0,4,54,0.0,1.85
Pape Gueye,27,2026-02-18,Levante UD,Villarreal,7.4,79,8532.0,16.0,108.0,0,0,0.06,0.59,29,36,2,0,1,0,4,50,0.0,1.88
Pape Gueye,27,2026-02-22,Villarreal,Valencia,8.1,58,6264.0,12.0,108.0,1,0,0.83,0.19,26,30,2,0,1,0,2,41,0.0,1.92
Pape Gueye,27,2026-02-28,FC Barcelona,Villarreal,7.1,90,9720.0,18.0,108.0,1,0,0.45,0.03,17,25,0,0,3,0,8,42,0.0,1.85
Pape Gueye,27,2026-03-08,Villarreal,Elche,7.6,75,8100.0,15.0,108.0,0,0,0.53,0.06,31,36,2,0,2,0,6,56,0.0,1.85
Pape Gueye,27,2026-03-13,Deportivo Alavés,Villarreal,6.7,67,7236.0,13.0,108.0,0,0,0.0,0.07,18,27,1,0,1,0,1,43,0.0,1.8
Pape Gueye,27,2026-03-20,Villarreal,Real Sociedad,7.1,89,9612.0,18.0,108.0,0,0,0.28,0.03,35,46,2,0,3,0,6,65,0.0,1.87
Pape Gueye,27,2026-03-28,Senegal,Peru,6.8,67,7236.0,13.0,108.0,0,0,0.0,0.0,35,40,1,0,1,0,3,49,0.0,1.8
Pape Gueye,27,2026-04-06,Girona FC,Villarreal,7.8,90,9720.0,18.0,108.0,0,0,0.02,0.14,40,52,1,0,2,0,6,74,0.0,1.85
Pape Gueye,27,2026-04-12,Athletic Club,Villarreal,7.4,82,8856.0,16.0,108.0,0,0,0.07,0.02,23,34,1,0,2,0,3,59,0.0,1.81
Pape Gueye,27,2026-04-23,Real Oviedo,Villarreal,7.0,90,9720.0,18.0,108.0,0,0,0.05,0.03,45,50,1,0,2,0,2,72,0.0,1.85
Pape Gueye,27,2026-04-26,Villarreal,Celta Vigo,6.8,78,8424.0,16.0,108.0,0,0,0.5,0.02,44,49,1,0,0,0,5,57,0.0,1.9
Pape Gueye,27,2026-05-02,Villarreal,Levante UD,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Pape Gueye,27,2026-05-10,Mallorca,Villarreal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Pape Gueye,27,2026-05-13,Villarreal,Sevilla,6.8,60,,,0.0,0,0,0.04,0.02,29,35,0,0,1,0,1,46,,
