Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Tajon Buchanan,27,2026-01-31,Osasuna,Villarreal,6.5,15,1620.0,3.0,108.0,0,0,0.0,0.0,2,2,0,0,0,0,0,9,0.0,1.85
Tajon Buchanan,27,2026-02-09,Villarreal,Espanyol,6.6,64,6912.0,13.0,108.0,0,0,0.17,0.2,12,13,2,0,0,0,4,27,0.0,1.88
Tajon Buchanan,27,2026-02-14,Getafe,Villarreal,6.1,65,7020.0,13.0,108.0,0,0,0.0,0.01,6,9,0,0,0,0,2,22,0.0,1.85
Tajon Buchanan,27,2026-02-18,Levante UD,Villarreal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Tajon Buchanan,27,2026-02-22,Villarreal,Valencia,6.5,20,2160.0,4.0,108.0,0,0,0.0,0.0,4,5,0,0,1,0,3,12,0.0,1.85
Tajon Buchanan,27,2026-02-28,FC Barcelona,Villarreal,6.3,23,2484.0,5.0,108.0,0,0,0.0,0.0,0,3,0,0,1,0,1,7,0.0,2.01
Tajon Buchanan,27,2026-03-08,Villarreal,Elche,7.9,65,7020.0,13.0,108.0,1,0,0.11,0.07,12,16,2,0,0,0,6,27,0.0,1.85
Tajon Buchanan,27,2026-03-13,Deportivo Alavés,Villarreal,6.2,59,6372.0,12.0,108.0,0,0,0.0,0.0,7,9,0,0,0,0,3,15,0.0,1.88
Tajon Buchanan,27,2026-03-20,Villarreal,Real Sociedad,6.4,16,1728.0,3.0,108.0,0,0,0.0,0.0,2,3,0,0,0,0,0,9,0.0,1.74
Tajon Buchanan,27,2026-03-28,Canada,Iceland,6.9,80,8640.0,16.0,108.0,0,0,0.0,0.0,24,27,0,0,1,0,5,58,0.0,1.85
Tajon Buchanan,27,2026-04-06,Girona FC,Villarreal,6.4,20,2160.0,4.0,108.0,0,0,0.01,0.0,4,4,0,0,0,0,0,7,0.0,1.85
Tajon Buchanan,27,2026-04-12,Athletic Club,Villarreal,6.8,78,8424.0,16.0,108.0,0,0,0.13,0.02,17,19,0,0,1,0,5,32,0.0,1.9
Tajon Buchanan,27,2026-04-23,Real Oviedo,Villarreal,6.6,45,4860.0,9.0,108.0,0,0,0.0,0.01,7,9,0,0,0,0,2,22,0.0,1.85
Tajon Buchanan,27,2026-05-02,Villarreal,Levante UD,7.6,14,1512.0,3.0,108.0,1,0,0.05,0.0,5,5,0,0,0,0,2,7,0.0,1.98
Tajon Buchanan,27,2026-05-10,Mallorca,Villarreal,6.4,71,7668.0,14.0,108.0,0,0,0.06,0.01,14,19,0,0,0,0,5,32,0.0,1.83
