Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
António Silva,22,2026-05-16,Estoril Praia,Benfica,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
António Silva,22,2026-05-11,Benfica,Sporting Braga,7.3,90,,,0.0,0,0,0.68,0.02,66,79,0,0,5,0,5,94
António Silva,22,2026-05-02,Famalicão,Benfica,6.9,90,,,0.0,0,0,0.0,0.01,43,50,0,0,3,0,4,65
António Silva,22,2026-04-25,Benfica,Moreirense,7.8,90,,,0.0,0,0,0.14,0.38,73,79,1,0,1,0,5,86
António Silva,22,2026-04-19,Sporting CP,Benfica,6.8,12,,,0.0,0,0,0.0,0.0,7,8,0,0,1,0,0,13
António Silva,22,2026-04-12,Benfica,CD Nacional,7.6,90,,,0.0,0,0,0.43,0.03,72,80,0,0,1,0,1,93
António Silva,22,2026-04-06,Casa Pia,Benfica,7.2,90,,,0.0,0,0,0.0,0.16,108,114,1,0,0,0,3,127
António Silva,22,2026-04-01,USA,Portugal,6.8,45,,,0.0,0,0,0.0,0.0,26,31,0,0,0,0,4,33
António Silva,22,2026-03-29,Mexico,Portugal,7.0,45,,,0.0,0,0,0.0,0.0,48,53,0,0,0,0,2,56
António Silva,22,2026-03-14,FC Arouca,Benfica,6.9,74,,,0.0,0,0,0.0,0.02,52,62,1,0,0,0,0,71
António Silva,22,2026-03-08,Benfica,FC Porto,7.0,15,,,0.0,0,0,0.0,0.01,16,17,0,0,0,0,0,22
António Silva,22,2026-03-02,Gil Vicente,Benfica,7.8,90,,,0.0,1,0,0.07,0.01,47,57,0,0,0,0,3,67
António Silva,22,2026-02-25,Real Madrid,Benfica,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
António Silva,22,2026-02-21,Benfica,AVS - Futebol SAD,7.6,90,,,0.0,0,0,0.04,0.04,56,60,0,0,1,0,6,72
António Silva,22,2026-02-17,Benfica,Real Madrid,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
