Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Samuel Soares,23,2026-05-16,Estoril Praia,Benfica,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Samuel Soares,23,2026-05-11,Benfica,Sporting Braga,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Samuel Soares,23,2026-05-02,Famalicão,Benfica,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Samuel Soares,23,2026-04-25,Benfica,Moreirense,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Samuel Soares,23,2026-04-19,Sporting CP,Benfica,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Samuel Soares,23,2026-04-12,Benfica,CD Nacional,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Samuel Soares,23,2026-04-06,Casa Pia,Benfica,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Samuel Soares,23,2026-03-21,Benfica,Vitória SC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Samuel Soares,23,2026-03-14,FC Arouca,Benfica,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Samuel Soares,23,2026-03-08,Benfica,FC Porto,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Samuel Soares,23,2026-03-02,Gil Vicente,Benfica,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Samuel Soares,23,2026-02-25,Real Madrid,Benfica,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Samuel Soares,23,2025-12-17,SC Farense,Benfica,6.9,45,,,0.0,0,0,0.0,0.0,4,8,0,0,0,0,4,13
Samuel Soares,23,2025-12-14,Moreirense,Benfica,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Samuel Soares,23,2025-12-10,Benfica,SSC Napoli,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
