Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Sydney van Hooijdonk,26,2026-05-16,Sporting Braga,CF Estrela Amadora,6.4,68,,,0.0,0,0,0.0,0.0,8,11,0,0,0,0,0,15
Sydney van Hooijdonk,26,2026-05-11,CF Estrela Amadora,Famalicão,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Sydney van Hooijdonk,26,2026-05-02,Moreirense,CF Estrela Amadora,6.2,26,,,0.0,0,0,0.04,0.0,1,3,0,0,0,0,0,9
Sydney van Hooijdonk,26,2026-04-26,CF Estrela Amadora,FC Porto,6.9,18,,,0.0,0,0,0.06,0.15,2,2,1,0,0,0,0,8
Sydney van Hooijdonk,26,2026-04-19,FC Arouca,CF Estrela Amadora,6.8,10,,,0.0,0,0,0.0,0.0,1,3,0,0,0,0,0,6
Sydney van Hooijdonk,26,2026-04-11,CF Estrela Amadora,Sporting CP,6.5,13,,,0.0,0,0,0.06,0.0,6,6,1,0,0,0,0,8
Sydney van Hooijdonk,26,2026-04-04,CD Nacional,CF Estrela Amadora,6.4,16,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2
Sydney van Hooijdonk,26,2026-03-20,CF Estrela Amadora,Casa Pia,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Sydney van Hooijdonk,26,2026-02-28,AVS - Futebol SAD,CF Estrela Amadora,6.4,56,,,0.0,0,0,0.03,0.0,3,6,0,0,0,0,0,13
Sydney van Hooijdonk,26,2026-02-20,CF Estrela Amadora,Tondela,6.7,90,,,0.0,0,0,0.2,0.05,7,8,2,0,0,0,0,16
Sydney van Hooijdonk,26,2026-02-07,CF Estrela Amadora,Santa Clara,6.3,45,,,0.0,0,0,0.0,0.0,3,7,0,0,0,0,2,12
Sydney van Hooijdonk,26,2026-01-31,FC Alverca,CF Estrela Amadora,7.0,14,,,0.0,1,0,0.79,0.0,1,3,0,0,0,0,2,6
Sydney van Hooijdonk,26,2026-01-24,PSV Eindhoven,NAC Breda,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Sydney van Hooijdonk,26,2026-01-17,NAC Breda,NEC Nijmegen,6.6,71,,,0.0,0,0,0.05,0.01,11,18,0,0,0,0,1,29
Sydney van Hooijdonk,26,2026-01-10,FC Groningen,NAC Breda,6.3,77,,,0.0,0,0,0.06,0.0,14,24,0,0,0,0,1,32
