Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Oluwakorede Osundina,22,2026-05-16,Casa Pia,Rio Ave,6.4,11,,,0.0,0,0,0.59,0.01,2,4,0,0,0,0,1,6
Oluwakorede Osundina,22,2026-05-11,Vitória SC,Casa Pia,6.5,45,,,0.0,0,0,0.0,0.01,4,5,0,0,0,0,3,15
Oluwakorede Osundina,22,2026-04-23,Casa Pia,Sporting Braga,6.4,30,,,0.0,0,0,0.0,0.0,2,2,0,0,0,0,0,5
Oluwakorede Osundina,22,2026-04-18,Casa Pia,Santa Clara,6.4,12,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1
Oluwakorede Osundina,22,2026-04-06,Casa Pia,Benfica,6.3,45,,,0.0,0,0,0.0,0.0,2,3,0,0,0,0,1,9
Oluwakorede Osundina,22,2026-03-20,CF Estrela Amadora,Casa Pia,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Oluwakorede Osundina,22,2026-03-07,Estoril Praia,Casa Pia,6.1,45,,,0.0,0,0,0.0,0.55,6,6,1,0,0,0,2,14
Oluwakorede Osundina,22,2026-03-01,Casa Pia,Moreirense,6.8,66,,,0.0,0,0,0.0,0.03,9,11,0,0,1,0,2,20
Oluwakorede Osundina,22,2026-02-23,Famalicão,Casa Pia,6.8,79,,,0.0,0,0,0.0,0.16,12,19,1,0,0,0,4,34
Oluwakorede Osundina,22,2026-02-14,Casa Pia,FC Arouca,6.2,53,,,0.0,0,0,0.0,0.0,5,7,0,0,0,0,1,12
Oluwakorede Osundina,22,2026-02-08,CD Nacional,Casa Pia,6.5,19,,,0.0,0,0,0.0,0.04,1,2,1,0,1,0,1,8
Oluwakorede Osundina,22,2026-02-02,Casa Pia,FC Porto,6.6,34,,,0.0,0,0,0.0,0.05,5,5,1,0,0,0,0,11
Oluwakorede Osundina,22,2026-01-23,Casa Pia,AVS - Futebol SAD,7.9,25,,,0.0,1,0,0.65,0.0,1,2,0,0,0,0,0,11
Oluwakorede Osundina,22,2025-11-01,Casa Pia,CF Estrela Amadora,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
