Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Gonçalo Costa,26,2026-05-16,Estoril Praia,Benfica,5.5,45,,,0.0,0,0,0.24,0.0,5,10,0,0,0,0,2,24
Gonçalo Costa,26,2026-05-10,FC Alverca,Estoril Praia,6.8,45,,,0.0,0,0,0.01,0.33,11,15,1,0,0,0,0,33
Gonçalo Costa,26,2026-05-03,Sporting Braga,Estoril Praia,6.7,20,,,0.0,0,0,0.14,0.0,4,9,1,0,1,0,1,16
Gonçalo Costa,26,2026-04-26,Estoril Praia,Famalicão,6.7,14,,,0.0,0,0,0.0,0.0,6,8,0,0,0,0,0,11
Gonçalo Costa,26,2026-04-20,Moreirense,Estoril Praia,6.7,11,,,0.0,0,0,0.0,0.04,3,4,0,0,0,0,0,6
Gonçalo Costa,26,2026-03-22,Estoril Praia,Rio Ave,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Gonçalo Costa,26,2026-03-15,CD Nacional,Estoril Praia,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Gonçalo Costa,26,2026-03-07,Estoril Praia,Casa Pia,6.7,11,,,0.0,0,0,0.02,0.0,3,5,0,0,0,0,0,9
Gonçalo Costa,26,2026-02-27,Sporting CP,Estoril Praia,5.9,45,,,0.0,0,0,0.0,0.0,13,16,0,0,0,0,2,24
Gonçalo Costa,26,2026-02-22,Estoril Praia,Gil Vicente,6.5,68,,,0.0,0,0,0.0,0.01,10,12,0,0,2,0,1,40
Gonçalo Costa,26,2026-02-15,AVS - Futebol SAD,Estoril Praia,5.8,29,,,0.0,0,0,0.0,0.04,17,24,0,0,0,0,3,36
Gonçalo Costa,26,2026-02-07,Estoril Praia,Tondela,6.7,12,,,0.0,0,0,0.0,0.01,7,9,0,0,0,0,0,17
Gonçalo Costa,26,2026-01-31,Santa Clara,Estoril Praia,6.3,29,,,0.0,0,0,0.07,0.0,6,8,0,0,2,0,1,20
Gonçalo Costa,26,2026-01-24,Estoril Praia,Vitória SC,6.7,17,,,0.0,0,0,0.01,0.0,3,3,0,0,0,0,0,8
Gonçalo Costa,26,2026-01-19,CF Estrela Amadora,Estoril Praia,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
