Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Mateo Flores,22,2026-05-16,FC Arouca,Tondela,6.6,11,,,0.0,0,0,0.0,0.0,6,6,0,0,0,0,0,8
Mateo Flores,22,2026-05-11,Gil Vicente,FC Arouca,6.6,14,,,0.0,0,0,0.0,0.0,9,9,0,0,0,0,1,9
Mateo Flores,22,2026-05-02,FC Arouca,Santa Clara,6.4,15,,,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,4
Mateo Flores,22,2026-04-24,FC Alverca,FC Arouca,6.4,15,,,0.0,0,0,0.0,0.01,9,10,0,0,0,0,0,10
Mateo Flores,22,2026-04-19,FC Arouca,CF Estrela Amadora,6.4,21,,,0.0,0,0,0.04,0.0,6,8,0,0,0,0,3,12
Mateo Flores,22,2026-04-12,Sporting Braga,FC Arouca,6.6,14,,,0.0,0,0,0.0,0.0,3,3,0,0,0,0,0,4
Mateo Flores,22,2026-04-06,FC Arouca,Estoril Praia,6.4,9,,,0.0,0,0,0.0,0.0,4,6,0,0,0,0,0,6
Mateo Flores,22,2026-01-24,FC Arouca,Sporting CP,6.5,20,,,0.0,0,0,0.0,0.0,3,6,0,0,0,0,1,9
Mateo Flores,22,2026-01-17,AVS - Futebol SAD,FC Arouca,6.9,18,,,0.0,0,0,0.0,0.0,8,11,0,0,0,0,2,14
Mateo Flores,22,2025-08-23,FC Arouca,Rio Ave,6.5,30,,,0.0,0,0,0.0,0.07,23,24,1,0,0,0,1,28
Mateo Flores,22,2025-08-17,Sporting CP,FC Arouca,6.6,27,,,0.0,0,0,0.0,0.01,17,18,0,0,0,0,0,20
Mateo Flores,22,2025-08-09,FC Arouca,AVS - Futebol SAD,6.9,12,,,0.0,0,0,0.0,0.0,4,5,0,0,1,0,3,12
Mateo Flores,22,2025-05-28,Real Betis,Chelsea,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Mateo Flores,22,2025-05-23,Real Betis,Valencia,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Mateo Flores,22,2025-05-17,Antequera,Betis Deportivo,6.9,75,,,0.0,0,0,0.0,0.16,37,44,1,0,3,0,6,61
