Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Luuk de Jong,35,2025-11-30,FC Porto,Estoril Praia,6.3,22,,,0.0,0,0,0.08,0.24,9,12,0,0,1,0,1,20
Luuk de Jong,35,2025-11-27,FC Porto,Nice,6.5,17,,,0.0,0,0,0.0,0.0,2,5,0,0,0,0,0,10
Luuk de Jong,35,2025-08-30,Sporting CP,FC Porto,7.2,80,,,0.0,1,0,1.07,0.01,13,20,3,0,0,0,2,31
Luuk de Jong,35,2025-08-24,FC Porto,Casa Pia,7.0,90,,,0.0,0,0,0.11,0.01,14,18,0,0,1,0,1,29
Luuk de Jong,35,2025-08-18,Gil Vicente,FC Porto,6.4,60,,,0.0,0,0,0.0,0.43,7,10,2,0,0,0,0,14
Luuk de Jong,35,2025-08-11,FC Porto,Vitória SC,6.5,10,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,0,1
Luuk de Jong,35,2025-05-18,Sparta Rotterdam,PSV Eindhoven,8.3,90,,,0.0,1,0,0.8,0.55,32,41,4,0,0,0,6,59
Luuk de Jong,35,2025-05-14,PSV Eindhoven,Heracles Almelo,6.7,84,,,0.0,0,0,0.82,0.68,18,20,3,0,1,0,2,32
Luuk de Jong,35,2025-05-11,Feyenoord,PSV Eindhoven,6.6,90,,,0.0,0,0,0.61,0.16,17,25,3,0,0,0,5,36
Luuk de Jong,35,2025-05-03,PSV Eindhoven,Fortuna Sittard,7.1,90,,,0.0,0,0,0.56,0.24,14,17,2,0,0,0,0,28
Luuk de Jong,35,2025-04-24,FC Twente,PSV Eindhoven,7.5,90,,,0.0,1,0,0.58,0.14,17,22,0,0,0,0,3,35
Luuk de Jong,35,2025-04-12,PSV Eindhoven,Almere City FC,7.4,90,,,0.0,0,0,1.27,0.3,24,28,4,0,0,0,0,42
Luuk de Jong,35,2025-04-05,FC Groningen,PSV Eindhoven,7.0,90,,,0.0,0,0,0.55,0.02,17,23,0,0,0,0,4,46
Luuk de Jong,35,2025-03-30,PSV Eindhoven,AFC Ajax,7.5,90,,,0.0,0,0,0.26,0.05,4,12,1,0,0,0,1,25
