Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Thiago Silva,41,2026-05-10,AVS - Futebol SAD,FC Porto,6.7,90,,,0.0,0,0,0.03,0.14,83,88,1,0,1,0,8,99
Thiago Silva,41,2026-05-02,FC Porto,FC Alverca,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Thiago Silva,41,2026-04-26,CF Estrela Amadora,FC Porto,7.4,90,,,0.0,0,0,0.0,0.04,60,63,1,0,2,0,3,75
Thiago Silva,41,2026-04-22,FC Porto,Sporting CP,7.3,58,,,0.0,0,0,0.0,0.0,43,44,0,0,0,0,4,51
Thiago Silva,41,2026-04-19,FC Porto,Tondela,6.8,28,,,0.0,0,0,0.0,0.0,27,28,0,0,0,0,1,31
Thiago Silva,41,2026-04-16,Nottingham Forest,FC Porto,6.9,90,,,0.0,0,0,0.0,0.01,29,40,0,0,0,0,4,46
Thiago Silva,41,2026-04-12,Estoril Praia,FC Porto,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Thiago Silva,41,2026-04-09,FC Porto,Nottingham Forest,7.3,90,,,0.0,0,0,0.04,0.02,83,89,0,0,0,0,2,97
Thiago Silva,41,2026-04-04,FC Porto,Famalicão,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Thiago Silva,41,2026-03-22,Sporting Braga,FC Porto,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Thiago Silva,41,2026-03-19,FC Porto,VfB Stuttgart,7.0,90,,,0.0,0,0,0.0,0.03,33,38,0,0,2,0,1,49
Thiago Silva,41,2026-03-12,VfB Stuttgart,FC Porto,6.5,90,,,0.0,0,0,0.0,0.01,33,40,0,0,1,0,4,53
Thiago Silva,41,2026-03-08,Benfica,FC Porto,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Thiago Silva,41,2026-02-15,CD Nacional,FC Porto,7.6,90,,,0.0,0,0,0.06,0.01,54,63,0,0,1,0,3,78
Thiago Silva,41,2026-02-09,FC Porto,Sporting CP,6.4,27,,,0.0,0,0,0.0,0.0,18,19,0,0,0,0,0,22
