Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Gilberto Batista,22,2026-05-16,Moreirense,AVS - Futebol SAD,7.9,90,,,0.0,0,0,0.0,0.02,83,85,0,0,1,0,4,98
Gilberto Batista,22,2026-05-11,Tondela,Moreirense,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Gilberto Batista,22,2026-05-02,Moreirense,CF Estrela Amadora,6.6,90,,,0.0,0,0,0.0,0.01,77,86,0,0,2,0,5,96
Gilberto Batista,22,2026-04-25,Benfica,Moreirense,5.4,90,,,0.0,0,0,0.38,0.0,37,55,0,0,3,0,3,74
Gilberto Batista,22,2026-04-20,Moreirense,Estoril Praia,7.2,90,,,0.0,0,0,0.0,0.01,45,53,0,0,1,0,2,65
Gilberto Batista,22,2026-04-10,Famalicão,Moreirense,6.7,90,,,0.0,0,0,0.0,0.0,33,39,1,0,2,0,1,53
Gilberto Batista,22,2026-04-04,Moreirense,Sporting Braga,6.4,68,,,0.0,0,0,0.0,0.0,34,41,0,0,1,0,0,59
Gilberto Batista,22,2026-03-21,Moreirense,FC Arouca,6.8,90,,,0.0,0,0,0.07,0.01,57,66,0,0,1,0,4,79
Gilberto Batista,22,2026-03-15,FC Porto,Moreirense,6.3,90,,,0.0,0,0,0.0,0.0,54,55,0,0,4,0,1,66
Gilberto Batista,22,2026-03-07,Moreirense,CD Nacional,6.8,90,,,0.0,0,0,0.0,0.0,57,65,0,0,1,0,7,84
Gilberto Batista,22,2026-03-01,Casa Pia,Moreirense,7.4,90,,,0.0,0,0,0.0,0.01,78,86,0,0,1,0,4,100
Gilberto Batista,22,2026-02-21,Moreirense,Sporting CP,6.1,90,,,0.0,0,0,0.0,0.0,40,48,0,0,1,0,6,58
Gilberto Batista,22,2026-02-16,Rio Ave,Moreirense,7.0,90,,,0.0,0,0,0.0,0.0,38,44,0,0,0,0,3,60
Gilberto Batista,22,2026-02-07,Moreirense,Gil Vicente,6.4,90,,,0.0,0,0,0.0,0.0,60,64,0,0,0,0,5,72
Gilberto Batista,22,2026-01-30,Vitória SC,Moreirense,6.5,90,,,0.0,0,0,0.0,0.0,68,81,0,0,2,0,9,93
