Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
João Costa,26,2026-01-04,Santa Clara,FC Porto,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
João Costa,26,2025-12-21,Santa Clara,FC Arouca,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
João Costa,26,2025-12-15,Sporting Braga,Santa Clara,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
João Costa,26,2025-12-06,Santa Clara,Casa Pia,6.5,12,,,0.0,0,0,0.0,0.0,1,3,0,0,0,0,1,4
João Costa,26,2025-11-30,Rio Ave,Santa Clara,,1,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1
João Costa,26,2025-11-08,Santa Clara,Sporting CP,6.6,11,,,0.0,0,0,0.0,0.0,1,2,0,0,0,0,0,2
João Costa,26,2025-11-03,Gil Vicente,Santa Clara,,1,,,0.0,0,0,0.06,0.0,0,0,0,0,0,0,0,4
João Costa,26,2025-10-29,Sporting Braga,Santa Clara,6.0,60,,,0.0,0,0,0.0,0.0,12,15,0,0,0,0,0,22
João Costa,26,2025-10-25,Santa Clara,AVS - Futebol SAD,7.4,24,,,0.0,0,0,0.0,0.07,6,8,2,0,0,0,1,12
João Costa,26,2025-09-27,Santa Clara,Tondela,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
João Costa,26,2025-09-12,Benfica,Santa Clara,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
João Costa,26,2025-09-06,Estoril Praia,Santa Clara,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
João Costa,26,2025-08-31,Santa Clara,CF Estrela Amadora,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
