Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
João Simões,19,2026-04-15,Arsenal,Sporting CP,6.8,13,,,0.0,0,0,0.06,0.0,6,8,0,0,0,0,3,14
João Simões,19,2026-04-07,Sporting CP,Arsenal,6.6,62,,,0.0,0,0,0.0,0.01,13,16,0,0,1,0,0,19
João Simões,19,2026-04-03,Sporting CP,Santa Clara,6.2,30,,,0.0,0,0,0.0,0.0,8,9,0,0,0,0,2,19
João Simões,19,2026-03-31,Portugal U21,Scotland U21,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
João Simões,19,2026-03-22,FC Alverca,Sporting CP,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
João Simões,19,2026-03-17,Sporting CP,Bodø/Glimt,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
João Simões,19,2026-03-11,Bodø/Glimt,Sporting CP,6.5,62,,,0.0,0,0,0.08,0.11,28,28,1,0,1,0,2,40
João Simões,19,2026-03-07,Sporting Braga,Sporting CP,6.4,17,,,0.0,0,0,0.0,0.0,3,5,0,0,0,0,2,9
João Simões,19,2026-03-03,Sporting CP,FC Porto,6.3,24,,,0.0,0,0,0.0,0.0,6,7,0,0,1,0,1,17
João Simões,19,2026-02-27,Sporting CP,Estoril Praia,6.6,18,,,0.0,0,0,0.0,0.01,9,12,1,0,0,0,1,13
João Simões,19,2026-02-21,Moreirense,Sporting CP,6.5,8,,,0.0,0,0,0.09,0.0,5,5,0,0,0,0,0,7
João Simões,19,2026-02-15,Sporting CP,Famalicão,6.6,11,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,0,2
João Simões,19,2026-02-09,FC Porto,Sporting CP,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
João Simões,19,2026-02-05,Sporting CP,AVS - Futebol SAD,6.5,52,,,0.0,0,0,0.0,0.0,31,34,0,0,1,0,4,42
