Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Miguel Nogueira,21,2026-05-16,CD Nacional,Vitória SC,6.4,10,,,0.0,0,0,0.0,0.0,3,3,0,0,0,0,0,6
Miguel Nogueira,21,2026-05-11,Vitória SC,Casa Pia,6.8,60,,,0.0,0,0,0.03,0.03,16,20,0,0,0,0,2,34
Miguel Nogueira,21,2026-05-04,Sporting CP,Vitória SC,6.1,62,,,0.0,0,0,0.06,0.05,20,26,2,0,2,0,4,42
Miguel Nogueira,21,2026-04-25,Vitória SC,Rio Ave,6.7,31,,,0.0,0,0,0.0,0.01,9,9,0,0,0,0,1,16
Miguel Nogueira,21,2026-04-18,Gil Vicente,Vitória SC,6.5,64,,,0.0,0,0,0.0,0.01,9,13,0,0,0,0,4,22
Miguel Nogueira,21,2026-04-11,AVS - Futebol SAD,Vitória SC,6.8,70,,,0.0,0,0,0.52,0.1,18,28,1,0,0,0,4,40
Miguel Nogueira,21,2026-04-03,Vitória SC,Tondela,7.9,67,,,0.0,1,0,0.19,0.08,15,23,1,0,0,0,4,34
Miguel Nogueira,21,2026-03-21,Benfica,Vitória SC,6.4,70,,,0.0,0,0,0.04,0.01,13,14,0,0,0,0,2,25
Miguel Nogueira,21,2026-03-14,Vitória SC,Famalicão,6.7,10,,,0.0,0,0,0.0,0.0,2,2,0,0,0,0,1,4
Miguel Nogueira,21,2026-03-08,CD Mafra,Vitória SC B,,90,,,0.0,2,0,0.0,0.0,0,0,0,0,0,0,0,0
Miguel Nogueira,21,2026-02-28,Vitória SC B,Varzim SC,,90,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Miguel Nogueira,21,2026-02-21,UD Santarém,Vitória SC B,,90,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Miguel Nogueira,21,2026-02-15,Vitória SC B,C.F. Os Belenenses,,90,,,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0
Miguel Nogueira,21,2026-02-07,FC Arouca,Vitória SC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Miguel Nogueira,21,2026-01-25,AD Sanjoanense,Vitória SC B,,85,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
