Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Yassin Belkhdim,2025-11-30,Angers,RC Lens,6.5,71,7668.0,14.0,108.0,0,0,0.07,0.0,12,16,0,0,1,0,0,25,0,1.83,24
Yassin Belkhdim,2025-12-07,Nice,Angers,8.1,83,8964.0,17.0,108.0,1,0,0.39,0.03,25,31,1,0,2,0,3,51,0,1.9,24
Yassin Belkhdim,2025-12-12,Angers,Nantes,7.1,82,8856.0,16.0,108.0,0,0,0.38,0.23,16,19,1,0,1,0,1,36,0,1.81,24
Yassin Belkhdim,2026-01-04,Le Havre,Angers,6.4,90,9720.0,18.0,108.0,0,0,0.07,0.1,31,38,1,0,1,0,2,53,0,1.85,24
Yassin Belkhdim,2026-01-10,Angers,Toulouse,6.2,75,8100.0,15.0,108.0,0,0,0.0,0.0,16,24,0,0,1,0,2,32,0,1.85,24
Yassin Belkhdim,2026-01-17,Angers,Olympique de Marseille,6.3,90,9720.0,18.0,108.0,0,0,0.03,0.01,22,25,0,0,0,0,5,40,0,1.85,24
Yassin Belkhdim,2026-01-25,Paris FC,Angers,6.4,87,9396.0,17.0,108.0,0,0,0.02,0.0,20,24,0,0,1,0,2,30,0,1.81,24
Yassin Belkhdim,2026-02-01,Angers,Metz,7.0,90,9720.0,18.0,108.0,0,0,0.03,0.05,64,67,1,0,2,0,6,85,0,1.85,24
Yassin Belkhdim,2026-02-08,Angers,Toulouse,7.4,90,9720.0,18.0,108.0,0,0,0.11,0.0,33,35,0,0,4,0,5,58,0,1.85,24
Yassin Belkhdim,2026-02-15,Lorient,Angers,6.2,67,7236.0,13.0,108.0,0,0,0.04,0.06,11,16,1,0,1,0,1,24,0,1.8,24
Yassin Belkhdim,2026-02-22,Angers,Lille,6.3,90,9720.0,18.0,108.0,0,0,0.03,0.0,21,26,0,0,0,0,3,31,0,1.85,24
Yassin Belkhdim,2026-02-28,AS Monaco,Angers,6.4,81,8748.0,16.0,108.0,0,0,0.45,0.0,16,20,0,0,4,0,0,34,0,1.83,24
Yassin Belkhdim,2026-03-07,Nantes,Angers,6.5,15,1620.0,3.0,108.0,0,0,0.0,0.0,2,3,0,0,0,0,0,3,0,1.85,24
Yassin Belkhdim,2026-03-20,RC Lens,Angers,6.6,90,9720.0,18.0,108.0,0,0,0.13,0.03,26,31,1,0,2,0,4,46,0,1.85,24
Yassin Belkhdim,2026-04-05,Angers,Olympique Lyonnais,6.6,89,9612.0,18.0,108.0,0,0,0.16,0.02,10,14,0,0,2,0,2,28,0,1.87,24
