Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Elisha Owusu,28,2026-01-23,Auxerre,Paris Saint-Germain,6.6,5,540.0,1.0,108.0,0,0,0.0,0.01,4,4,1,0,0,0,0,4,0.0,1.85
Elisha Owusu,28,2026-02-01,Toulouse,Auxerre,6.5,80,8640.0,16.0,108.0,0,0,0.0,0.0,29,34,0,0,3,0,3,43,0.0,1.85
Elisha Owusu,28,2026-02-08,Auxerre,Paris FC,6.7,90,9720.0,18.0,108.0,0,0,0.0,0.01,36,42,0,0,1,0,6,52,0.0,1.85
Elisha Owusu,28,2026-02-15,Metz,Auxerre,7.2,90,9720.0,18.0,108.0,0,0,0.0,0.01,24,25,0,0,2,0,7,41,0.0,1.85
Elisha Owusu,28,2026-02-22,Auxerre,Stade Rennais,6.6,90,9720.0,18.0,108.0,0,0,0.0,0.02,27,34,1,0,0,0,6,46,0.0,1.85
Elisha Owusu,28,2026-03-01,Lorient,Auxerre,6.8,90,9720.0,18.0,108.0,0,0,0.0,0.01,33,41,0,0,1,0,6,53,0.0,1.85
Elisha Owusu,28,2026-03-07,Auxerre,RC Strasbourg,7.1,90,9720.0,18.0,108.0,0,0,0.0,0.0,11,23,1,0,0,0,6,32,0.0,1.85
Elisha Owusu,28,2026-03-13,Olympique de Marseille,Auxerre,6.9,90,9720.0,18.0,108.0,0,0,0.04,0.02,35,41,1,0,1,0,6,55,0.0,1.85
Elisha Owusu,28,2026-03-21,Auxerre,Stade Brestois,7.4,90,9720.0,18.0,108.0,0,0,0.0,0.03,17,20,0,0,0,0,6,28,0.0,1.85
Elisha Owusu,28,2026-03-27,Austria,Ghana,6.4,4,432.0,1.0,108.0,0,0,0.0,0.0,0,1,0,0,0,0,1,2,0.0,2.31
Elisha Owusu,28,2026-03-30,Germany,Ghana,6.3,45,4860.0,9.0,108.0,0,0,0.0,0.0,11,12,0,0,2,0,0,14,0.0,1.85
Elisha Owusu,28,2026-04-05,Le Havre,Auxerre,7.0,90,9720.0,18.0,108.0,0,0,0.0,0.01,24,28,1,0,0,0,7,39,0.0,1.85
Elisha Owusu,28,2026-04-11,Auxerre,Nantes,6.9,90,9720.0,18.0,108.0,0,0,0.0,0.03,33,45,0,0,1,0,10,54,0.0,1.85
Elisha Owusu,28,2026-04-19,AS Monaco,Auxerre,7.1,90,9720.0,18.0,108.0,0,0,0.0,0.02,25,26,2,0,1,0,3,39,0.0,1.85
Elisha Owusu,28,2026-04-25,Olympique Lyonnais,Auxerre,6.4,90,9720.0,18.0,108.0,0,0,0.01,0.01,26,32,0,0,1,0,8,47,0.0,1.85
Elisha Owusu,28,2026-05-03,Auxerre,Angers,7.1,90,,,0.0,0,0,0.04,0.01,35,39,0,0,0,0,6,52,,
Elisha Owusu,28,2026-05-10,Auxerre,Nice,6.5,90,,,0.0,0,0,0.02,0.02,29,40,0,0,2,0,5,56,,
