Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Tidiane Devernois,2025-10-29,RC Strasbourg,Auxerre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,18
Tidiane Devernois,2025-11-01,Auxerre,Olympique de Marseille,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,18
Tidiane Devernois,2025-11-23,Auxerre,Olympique Lyonnais,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,18
Tidiane Devernois,2025-11-29,Paris FC,Auxerre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,18
Tidiane Devernois,2025-12-07,Auxerre,Metz,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,18
Tidiane Devernois,2025-12-14,Auxerre,Lille,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,18
Tidiane Devernois,2025-12-21,Auxerre,AS Monaco,6.7,9,972.0,2.0,108.0,0,0,0.0,0.0,7,7,1,0,0,0,0,11,0,2.06,18
Tidiane Devernois,2026-01-04,Stade Brestois,Auxerre,6.5,4,432.0,1.0,108.0,0,0,0.0,0.0,3,5,1,0,0,0,1,6,0,2.31,18
Tidiane Devernois,2026-02-15,Metz,Auxerre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,18
Tidiane Devernois,2026-02-22,Auxerre,Stade Rennais,6.7,4,432.0,1.0,108.0,0,0,0.0,0.06,3,5,1,0,0,0,1,7,0,2.31,18
