Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Daren Nbenbege Mosengo,2025-12-21,Le Havre,Amiens SC,6.5,45,4860.0,9.0,108.0,0,0,0.0,0.0,21,24,0,0,1,0,1,27,0,1.85,19
Daren Nbenbege Mosengo,2026-01-04,Le Havre,Angers,6.5,33,3564.0,7.0,108.0,0,0,0.0,0.0,8,11,0,0,0,0,4,17,0,1.96,19
Daren Nbenbege Mosengo,2026-01-24,Le Havre,AS Monaco,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,19
Daren Nbenbege Mosengo,2026-01-30,RC Lens,Le Havre,6.8,31,3348.0,6.0,108.0,0,0,0.0,0.0,22,25,0,0,1,0,3,34,0,1.79,19
Daren Nbenbege Mosengo,2026-02-08,Le Havre,RC Strasbourg,6.5,8,864.0,2.0,108.0,0,0,0.0,0.0,1,2,0,0,0,0,2,2,0,2.31,19
Daren Nbenbege Mosengo,2026-02-15,Le Havre,Toulouse,6.6,25,2700.0,5.0,108.0,0,0,0.0,0.0,1,4,0,0,0,0,0,8,0,1.85,19
Daren Nbenbege Mosengo,2026-02-22,Nantes,Le Havre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,19
Daren Nbenbege Mosengo,2026-02-28,Le Havre,Paris Saint-Germain,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,19
Daren Nbenbege Mosengo,2026-03-08,Stade Brestois,Le Havre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,19
Daren Nbenbege Mosengo,2026-03-15,Le Havre,Olympique Lyonnais,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,19
Daren Nbenbege Mosengo,2026-03-22,Paris FC,Le Havre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,19
Daren Nbenbege Mosengo,2026-04-05,Le Havre,Auxerre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,19
Daren Nbenbege Mosengo,2026-04-12,Nice,Le Havre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,19
Daren Nbenbege Mosengo,2026-04-18,Angers,Le Havre,,1,108.0,0.0,108.0,0,0,0.0,0.01,1,1,0,0,0,0,0,2,0,0.0,19
Daren Nbenbege Mosengo,2026-04-26,Le Havre,Metz,,1,108.0,0.0,108.0,0,0,0.0,0.0,2,2,0,0,0,0,2,3,0,0.0,19
