Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Boubacar Traoré,2025-10-19,Toulouse,Metz,6.6,71,7668.0,14.0,108.0,0,0,0.0,0.0,40,44,0,0,0,0,4,54,0,1.83,24
Boubacar Traoré,2025-11-02,Nantes,Metz,6.6,12,1296.0,2.0,108.0,0,0,0.0,0.0,1,3,0,0,0,0,0,7,0,1.54,24
Boubacar Traoré,2025-11-09,Metz,Nice,6.7,13,1404.0,3.0,108.0,0,0,0.0,0.0,6,9,0,0,0,0,1,13,0,2.14,24
Boubacar Traoré,2025-11-23,Stade Brestois,Metz,6.6,22,2376.0,4.0,108.0,0,0,0.0,0.0,7,8,0,0,0,0,1,12,0,1.68,24
Boubacar Traoré,2025-11-28,Metz,Stade Rennais,6.8,88,9504.0,18.0,108.0,0,0,0.02,0.01,31,39,1,0,1,0,6,50,0,1.89,24
Boubacar Traoré,2025-12-07,Auxerre,Metz,6.5,84,9072.0,17.0,108.0,0,0,0.02,0.01,45,51,0,0,1,0,0,66,0,1.87,24
Boubacar Traoré,2025-12-13,Metz,Paris Saint-Germain,6.4,85,9180.0,17.0,108.0,0,0,0.0,0.01,24,29,0,0,1,0,6,38,0,1.85,24
Boubacar Traoré,2025-12-20,ASC Biesheim,Metz,9.3,70,7560.0,14.0,108.0,2,0,0.0,0.0,20,25,0,0,0,0,4,34,0,1.85,24
Boubacar Traoré,2026-01-04,Lorient,Metz,6.5,84,9072.0,17.0,108.0,0,0,0.02,0.04,26,28,1,0,0,0,1,38,0,1.87,24
Boubacar Traoré,2026-01-11,Metz,Montpellier,7.2,59,6372.0,12.0,108.0,0,0,0.0,0.0,22,24,0,0,0,0,3,37,0,1.88,24
Boubacar Traoré,2026-01-25,Metz,Olympique Lyonnais,7.0,90,9720.0,18.0,108.0,0,0,0.12,0.09,35,39,2,0,0,0,8,60,0,1.85,24
Boubacar Traoré,2026-02-01,Angers,Metz,6.4,68,7344.0,14.0,108.0,0,0,0.0,0.0,17,22,0,0,2,0,5,29,0,1.91,24
Boubacar Traoré,2026-02-21,Paris Saint-Germain,Metz,6.9,90,9720.0,18.0,108.0,0,0,0.02,0.01,28,29,0,0,1,0,10,46,0,1.85,24
Boubacar Traoré,2026-03-01,Metz,Stade Brestois,6.9,81,8748.0,16.0,108.0,0,0,0.03,0.08,48,54,0,0,1,0,7,66,0,1.83,24
Boubacar Traoré,2026-03-08,RC Lens,Metz,6.7,45,4860.0,9.0,108.0,0,0,0.0,0.0,10,14,0,0,4,0,7,29,0,1.85,24
