Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Ibou Sane,2025-12-20,ASC Biesheim,Metz,7.0,90,9720.0,18.0,108.0,1,0,0.0,0.0,19,24,1,0,0,0,4,45,0,1.85,21
Ibou Sane,2026-01-04,Lorient,Metz,6.5,79,8532.0,16.0,108.0,0,0,0.0,0.0,8,11,0,0,0,0,0,21,0,1.88,21
Ibou Sane,2026-01-11,Metz,Montpellier,7.2,65,7020.0,13.0,108.0,0,0,0.0,0.0,15,15,0,0,0,0,2,32,0,1.85,21
Ibou Sane,2026-01-18,RC Strasbourg,Metz,6.9,81,8748.0,16.0,108.0,0,0,0.05,0.09,16,20,1,0,0,0,0,30,0,1.83,21
Ibou Sane,2026-01-25,Metz,Olympique Lyonnais,6.5,8,864.0,2.0,108.0,0,0,0.0,0.01,2,2,0,0,0,0,0,2,0,2.31,21
Ibou Sane,2026-02-01,Angers,Metz,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,21
Ibou Sane,2026-02-09,Amiens SC,Clermont Foot,6.7,90,9720.0,18.0,108.0,0,0,0.0,0.0,17,25,0,0,0,0,1,44,0,1.85,21
Ibou Sane,2026-02-13,Amiens SC,USL Dunkerque,5.9,64,6912.0,13.0,108.0,0,0,0.0,0.0,3,7,0,0,0,0,3,20,0,1.88,21
Ibou Sane,2026-03-02,Amiens SC,Troyes,6.6,22,2376.0,4.0,108.0,0,0,0.0,0.0,1,1,0,0,0,0,1,6,0,1.68,21
Ibou Sane,2026-03-06,US Boulogne Côte-d'Opale,Amiens SC,7.4,59,6372.0,12.0,108.0,1,0,0.0,0.0,8,14,0,0,1,0,3,24,0,1.88,21
Ibou Sane,2026-03-13,Guingamp,Amiens SC,6.3,35,3780.0,7.0,108.0,0,0,0.0,0.0,6,7,0,0,0,0,2,11,0,1.85,21
Ibou Sane,2026-03-20,Amiens SC,Le Mans,7.8,76,8208.0,15.0,108.0,1,0,0.0,0.0,10,14,0,0,0,0,3,23,0,1.83,21
Ibou Sane,2026-04-03,Bastia,Amiens SC,6.6,66,7128.0,13.0,108.0,0,0,0.0,0.0,8,12,1,0,0,0,0,21,0,1.82,21
Ibou Sane,2026-04-10,Amiens SC,Pau FC,7.2,33,3564.0,7.0,108.0,0,0,0.0,0.0,9,9,1,0,0,0,0,14,0,1.96,21
Ibou Sane,2026-04-17,Rodez AF,Amiens SC,6.6,24,2592.0,5.0,108.0,0,0,0.0,0.0,4,5,0,0,0,0,1,12,0,1.93,21
