Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Geoffrey Kondogbia,2026-01-08,Paris Saint-Germain,Olympique de Marseille,6.8,90,9720.0,18.0,108.0,0,0,0.0,0.0,48,52,2,0,2,0,8,59,0,1.85,33
Geoffrey Kondogbia,2026-01-13,Bayeux FC,Olympique de Marseille,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,33
Geoffrey Kondogbia,2026-01-17,Angers,Olympique de Marseille,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,33
Geoffrey Kondogbia,2026-01-21,Olympique de Marseille,Liverpool,6.6,68,7344.0,14.0,108.0,0,0,0.0,0.05,36,43,1,0,1,0,3,52,0,1.91,33
Geoffrey Kondogbia,2026-01-28,Club Brugge KV,Olympique de Marseille,6.8,86,9288.0,17.0,108.0,0,0,0.04,0.04,51,59,0,0,2,0,7,72,0,1.83,33
Geoffrey Kondogbia,2026-01-31,Paris FC,Olympique de Marseille,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,33
Geoffrey Kondogbia,2026-02-03,Olympique de Marseille,Stade Rennais,6.3,20,2160.0,4.0,108.0,0,0,0.0,0.0,7,8,0,0,1,0,0,12,0,1.85,33
Geoffrey Kondogbia,2026-02-08,Paris Saint-Germain,Olympique de Marseille,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,33
Geoffrey Kondogbia,2026-02-14,Olympique de Marseille,RC Strasbourg,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,33
Geoffrey Kondogbia,2026-02-20,Stade Brestois,Olympique de Marseille,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,33
Geoffrey Kondogbia,2026-03-01,Olympique de Marseille,Olympique Lyonnais,6.8,85,9180.0,17.0,108.0,0,0,0.12,0.05,39,47,1,0,1,0,12,56,0,1.85,33
Geoffrey Kondogbia,2026-03-04,Olympique de Marseille,Toulouse,7.9,90,9720.0,18.0,108.0,0,0,0.0,0.0,45,52,2,0,3,0,3,67,0,1.85,33
Geoffrey Kondogbia,2026-03-07,Toulouse,Olympique de Marseille,7.1,66,7128.0,13.0,108.0,0,0,0.07,0.01,40,47,0,0,0,0,8,62,0,1.82,33
Geoffrey Kondogbia,2026-03-13,Olympique de Marseille,Auxerre,7.4,63,6804.0,13.0,108.0,0,0,0.0,0.02,44,51,0,0,3,0,7,67,0,1.91,33
Geoffrey Kondogbia,2026-03-22,Olympique de Marseille,Lille,6.4,65,7020.0,13.0,108.0,0,0,0.0,0.04,28,34,1,0,1,0,4,40,0,1.85,33
