Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Hans Hateboer,2026-01-18,Olympique Lyonnais,Stade Brestois,,1,108.0,0.0,108.0,0,0,0.0,0.0,2,3,0,0,0,0,0,5,0,0.0,32
Hans Hateboer,2026-01-25,Metz,Olympique Lyonnais,6.1,90,9720.0,18.0,108.0,0,0,0.0,0.01,22,28,0,0,3,0,6,46,0,1.85,32
Hans Hateboer,2026-02-01,Olympique Lyonnais,Lille,,1,108.0,0.0,108.0,0,0,0.0,0.0,0,1,0,0,0,0,0,2,0,0.0,32
Hans Hateboer,2026-02-04,Olympique Lyonnais,Stade Lavallois,7.2,79,8532.0,16.0,108.0,0,0,0.0,0.0,59,64,1,0,1,0,1,78,0,1.88,32
Hans Hateboer,2026-02-07,Nantes,Olympique Lyonnais,6.6,14,1512.0,3.0,108.0,0,0,0.0,0.0,0,0,0,0,0,0,0,5,0,1.98,32
Hans Hateboer,2026-02-15,Olympique Lyonnais,Nice,6.7,90,9720.0,18.0,108.0,0,0,0.0,0.01,51,56,0,0,1,0,2,71,0,1.85,32
Hans Hateboer,2026-03-01,Olympique de Marseille,Olympique Lyonnais,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,32
Hans Hateboer,2026-03-05,Olympique Lyonnais,RC Lens,6.8,21,2268.0,4.0,108.0,0,0,0.0,0.0,18,19,0,0,0,0,1,22,0,1.76,32
Hans Hateboer,2026-03-08,Olympique Lyonnais,Paris FC,6.8,90,9720.0,18.0,108.0,0,0,0.0,0.07,49,50,1,0,2,0,1,70,0,1.85,32
Hans Hateboer,2026-03-15,Le Havre,Olympique Lyonnais,7.3,80,8640.0,16.0,108.0,0,0,0.0,0.02,36,41,0,0,0,0,3,65,0,1.85,32
Hans Hateboer,2026-03-22,Olympique Lyonnais,AS Monaco,6.1,85,9180.0,17.0,108.0,0,0,0.04,0.02,27,33,0,0,0,0,1,46,0,1.85,32
Hans Hateboer,2026-04-05,Angers,Olympique Lyonnais,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,32
Hans Hateboer,2026-04-12,Olympique Lyonnais,Lorient,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,32
Hans Hateboer,2026-04-19,Paris Saint-Germain,Olympique Lyonnais,6.7,30,3240.0,6.0,108.0,0,0,0.0,0.0,6,8,0,0,1,0,2,17,0,1.85,32
Hans Hateboer,2026-04-25,Olympique Lyonnais,Auxerre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,32
