Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Brice Maubleu,36,2026-05-09,Saint-Étienne,Amiens SC,6.8,90,,,0.0,0,0,0.0,0.0,13,28,0,0,0,0,5,34
Brice Maubleu,36,2026-05-02,Rodez AF,Saint-Étienne,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Brice Maubleu,36,2026-04-25,Saint-Étienne,Troyes,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Brice Maubleu,36,2026-04-18,Bastia,Saint-Étienne,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Brice Maubleu,36,2026-04-11,Saint-Étienne,USL Dunkerque,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Brice Maubleu,36,2026-04-04,Nancy,Saint-Étienne,6.2,90,,,0.0,0,0,0.0,0.0,21,24,0,0,0,0,9,29
Brice Maubleu,36,2026-03-21,Saint-Étienne,Annecy FC,6.9,90,,,0.0,0,0,0.0,0.0,25,36,0,0,0,0,12,47
Brice Maubleu,36,2026-03-14,Grenoble Foot 38,Saint-Étienne,7.8,90,,,0.0,0,0,0.0,0.0,23,32,0,0,0,0,7,40
Brice Maubleu,36,2026-03-07,Saint-Étienne,Red Star FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Brice Maubleu,36,2026-02-28,Pau FC,Saint-Étienne,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Brice Maubleu,36,2026-02-21,Saint-Étienne,Stade Lavallois,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Brice Maubleu,36,2026-02-14,Guingamp,Saint-Étienne,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Brice Maubleu,36,2026-02-07,Saint-Étienne,Montpellier,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Brice Maubleu,36,2026-01-31,Saint-Étienne,US Boulogne Côte-d'Opale,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Brice Maubleu,36,2026-01-24,Stade de Reims,Saint-Étienne,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
