Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Hugo Magnetti,27,2025-12-13,Stade Rennais,Stade Brestois,6.3,81,8748.0,16.0,108.0,0,0,0.0,0.03,19,26,0,0,1,0,6,40,0.0,1.83
Hugo Magnetti,27,2026-01-04,Stade Brestois,Auxerre,6.8,90,9720.0,18.0,108.0,0,0,0.0,0.02,39,44,0,0,3,0,4,58,0.0,1.85
Hugo Magnetti,27,2026-01-18,Olympique Lyonnais,Stade Brestois,6.5,90,9720.0,18.0,108.0,0,0,0.0,0.01,32,34,0,0,1,0,7,55,0.0,1.85
Hugo Magnetti,27,2026-01-25,Stade Brestois,Toulouse,6.7,73,7884.0,15.0,108.0,0,0,0.0,0.03,38,47,1,0,1,0,4,62,0.0,1.9
Hugo Magnetti,27,2026-02-01,Nice,Stade Brestois,7.3,90,9720.0,18.0,108.0,0,0,0.0,0.03,30,42,1,0,2,0,9,58,0.0,1.85
Hugo Magnetti,27,2026-02-07,Stade Brestois,Lorient,7.1,90,9720.0,18.0,108.0,0,0,0.0,0.03,36,41,1,0,1,0,8,49,0.0,1.85
Hugo Magnetti,27,2026-02-14,Lille,Stade Brestois,6.8,90,9720.0,18.0,108.0,0,0,0.04,0.01,17,21,0,0,4,0,4,36,0.0,1.85
Hugo Magnetti,27,2026-02-20,Stade Brestois,Olympique de Marseille,7.9,90,9720.0,18.0,108.0,0,0,0.0,0.06,25,26,1,0,4,0,2,42,0.0,1.85
Hugo Magnetti,27,2026-03-01,Metz,Stade Brestois,7.9,90,9720.0,18.0,108.0,0,0,0.0,0.04,25,32,0,0,1,0,9,55,0.0,1.85
Hugo Magnetti,27,2026-03-08,Stade Brestois,Le Havre,7.3,90,9720.0,18.0,108.0,0,0,0.02,0.36,27,36,0,0,1,0,3,52,0.0,1.85
Hugo Magnetti,27,2026-03-14,AS Monaco,Stade Brestois,7.0,83,8964.0,17.0,108.0,0,0,0.0,0.05,23,32,0,0,1,0,9,47,0.0,1.9
Hugo Magnetti,27,2026-03-21,Auxerre,Stade Brestois,6.4,90,9720.0,18.0,108.0,0,0,0.0,0.08,39,47,1,0,1,0,7,64,0.0,1.85
Hugo Magnetti,27,2026-04-04,Stade Brestois,Stade Rennais,6.6,90,9720.0,18.0,108.0,0,0,0.0,0.09,15,21,2,0,0,0,3,35,0.0,1.85
Hugo Magnetti,27,2026-04-19,Nantes,Stade Brestois,6.7,78,8424.0,16.0,108.0,0,0,0.0,0.0,24,32,0,0,0,0,3,44,0.0,1.9
Hugo Magnetti,27,2026-04-24,Stade Brestois,RC Lens,6.5,90,9720.0,18.0,108.0,0,0,0.0,0.17,26,35,1,0,0,0,4,44,0.0,1.85
Hugo Magnetti,27,2026-05-03,Paris FC,Stade Brestois,6.9,70,,,0.0,0,0,0.0,0.01,28,30,0,0,3,0,3,40,,
Hugo Magnetti,27,2026-05-10,Paris Saint-Germain,Stade Brestois,6.2,90,,,0.0,0,0,0.04,0.0,24,27,0,0,1,0,6,40,,
Hugo Magnetti,27,2026-05-13,Stade Brestois,RC Strasbourg,7.0,84,,,0.0,0,0,0.16,0.15,46,47,2,0,2,0,6,65,,
