Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Djibril Diani,28,2026-05-17,Charlotte FC,Toronto FC,6.7,24,,,0.0,0,0,0.0,0.08,13,14,2,0,0,0,1,15
Djibril Diani,28,2026-05-14,Charlotte FC,New York City FC,6.5,90,,,0.0,0,0,0.0,0.02,39,43,0,0,2,0,2,52
Djibril Diani,28,2026-05-10,Charlotte FC,FC Cincinnati,7.5,90,,,0.0,0,0,0.0,0.18,43,43,1,0,1,0,2,59
Djibril Diani,28,2026-05-03,New England Revolution,Charlotte FC,7.0,78,,,0.0,0,0,0.0,0.03,34,39,0,0,1,0,4,50
Djibril Diani,28,2026-04-29,Charlotte FC,Atlanta United,7.4,78,,,0.0,0,0,0.0,0.0,52,56,1,0,1,0,3,69
Djibril Diani,28,2026-04-26,Nashville SC,Charlotte FC,6.8,14,,,0.0,0,0,0.0,0.01,7,7,0,0,0,0,0,11
Djibril Diani,28,2026-04-23,Orlando City SC,Charlotte FC,6.4,10,,,0.0,0,0,0.03,0.02,10,10,0,0,0,0,1,14
Djibril Diani,28,2026-04-19,New York City FC,Charlotte FC,,1,,,0.0,0,0,0.0,0.0,0,0,0,0,1,0,0,2
Djibril Diani,28,2026-04-16,Charlotte FC,Charlotte Independence,7.0,61,,,0.0,0,0,0.0,0.0,49,49,1,0,3,0,5,58
Djibril Diani,28,2026-04-12,Charlotte FC,Nashville SC,6.6,45,,,0.0,0,0,0.0,0.01,17,18,0,0,3,0,1,26
Djibril Diani,28,2026-04-05,Charlotte FC,Philadelphia Union,6.4,65,,,0.0,0,0,0.08,0.03,22,23,0,0,2,0,1,37
Djibril Diani,28,2026-03-21,Charlotte FC,New York Red Bulls,6.7,66,,,0.0,0,0,0.06,0.01,23,25,0,0,1,0,3,37
Djibril Diani,28,2026-03-14,Charlotte FC,Inter Miami CF,6.8,19,,,0.0,0,0,0.0,0.01,9,12,0,0,0,0,1,15
Djibril Diani,28,2026-03-08,Charlotte FC,Austin FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Djibril Diani,28,2026-03-01,LA Galaxy,Charlotte FC,6.5,45,,,0.0,0,0,0.05,0.02,15,15,0,0,2,0,2,23
