Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Nimfasha Berchimas,18,2026-05-09,Chicago Fire FC II,Crown Legacy FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1
Nimfasha Berchimas,18,2026-05-04,Orlando City B,Crown Legacy FC,6.4,90,,,0.0,0,0,0.0,0.0,17,24,1,0,0,0,4,51
Nimfasha Berchimas,18,2026-04-29,Charlotte FC,Atlanta United,6.5,12,,,0.0,0,0,0.0,0.0,3,5,0,0,0,0,1,12
Nimfasha Berchimas,18,2026-04-25,Carolina Core FC,Crown Legacy FC,5.9,90,,,0.0,0,0,0.0,0.0,15,19,3,0,0,0,1,45
Nimfasha Berchimas,18,2026-04-19,Crown Legacy FC,Chattanooga FC,6.6,86,,,0.0,0,0,0.0,0.0,16,23,1,0,0,0,1,50
Nimfasha Berchimas,18,2026-04-16,Charlotte FC,Charlotte Independence,7.5,29,,,0.0,1,0,0.0,0.0,9,11,0,0,0,0,3,22
Nimfasha Berchimas,18,2026-04-12,Toronto FC II,Crown Legacy FC,8.4,89,,,0.0,2,0,0.0,0.0,21,33,2,0,0,0,2,57
Nimfasha Berchimas,18,2026-03-23,Crown Legacy FC,Atlanta United 2,7.7,88,,,0.0,1,0,0.0,0.0,20,28,2,0,0,0,2,52
Nimfasha Berchimas,18,2026-03-15,Crown Legacy FC,Inter Miami CF II,8.7,78,,,0.0,1,0,0.0,0.0,11,22,0,0,0,0,9,50
Nimfasha Berchimas,18,2026-03-07,Crown Legacy FC,Huntsville City FC,9.7,79,,,0.0,1,0,0.0,0.0,13,18,4,0,0,0,4,45
Nimfasha Berchimas,18,2026-03-01,Chattanooga FC,Crown Legacy FC,8.0,89,,,0.0,1,0,0.0,0.0,9,17,0,0,1,0,5,36
Nimfasha Berchimas,18,2025-11-14,USA U17,Morocco U17,6.3,74,,,0.0,0,0,0.0,0.0,8,13,0,0,0,0,2,31
Nimfasha Berchimas,18,2025-11-11,Czechia U17,USA U17,6.4,14,,,0.0,0,0,0.0,0.0,1,2,0,0,0,0,1,4
Nimfasha Berchimas,18,2025-11-08,USA U17,Tajikistan U17,8.5,84,,,0.0,1,0,0.0,0.0,29,35,2,0,3,0,3,52
