Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Steven Moreira,31,2026-05-17,Philadelphia Union,Columbus Crew,6.4,90,,,0.0,0,0,0.0,0.0,27,36,0,0,1,0,5,63
Steven Moreira,31,2026-05-14,New York Red Bulls,Columbus Crew,6.4,90,,,0.0,0,0,0.08,0.06,60,63,0,0,1,0,3,89
Steven Moreira,31,2026-05-10,New York City FC,Columbus Crew,6.0,68,,,0.0,0,0,0.0,0.04,38,40,1,0,0,0,4,55
Steven Moreira,31,2026-05-03,Columbus Crew,Minnesota United,6.7,90,,,0.0,0,0,0.0,0.38,53,66,3,0,3,0,3,89
Steven Moreira,31,2026-04-30,Columbus Crew,One Knoxville SC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Steven Moreira,31,2026-04-26,Columbus Crew,Philadelphia Union,6.8,27,,,0.0,0,0,0.0,0.0,7,12,0,0,1,0,3,17
Steven Moreira,31,2026-04-23,Columbus Crew,LA Galaxy,6.2,90,,,0.0,0,0,0.02,0.02,41,46,1,0,2,0,2,72
Steven Moreira,31,2026-04-19,New England Revolution,Columbus Crew,6.1,88,,,0.0,0,0,0.02,0.03,42,46,1,0,0,0,1,59
Steven Moreira,31,2026-04-13,Columbus Crew,Orlando City SC,6.7,83,,,0.0,0,0,0.15,0.08,62,68,1,0,0,0,5,89
Steven Moreira,31,2026-04-05,Atlanta United,Columbus Crew,6.5,90,,,0.0,0,0,0.0,0.04,28,37,4,0,0,0,3,51
Steven Moreira,31,2026-03-30,Cabo Verde,Finland,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Steven Moreira,31,2026-03-27,Chile,Cabo Verde,6.1,78,,,0.0,0,0,0.0,0.0,18,24,1,0,0,0,2,38
Steven Moreira,31,2026-03-21,Toronto FC,Columbus Crew,6.4,90,,,0.0,0,0,0.0,0.01,59,65,0,0,0,0,5,77
Steven Moreira,31,2026-03-14,Columbus Crew,Nashville SC,7.4,90,,,0.0,0,0,0.0,0.02,97,105,0,0,1,0,4,111
Steven Moreira,31,2026-03-08,Columbus Crew,Chicago Fire,7.5,90,,,0.0,0,0,0.04,0.02,71,78,0,0,2,0,6,93
