Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Ayoub Jabbari,26,2026-05-17,San Diego FC,FC Cincinnati,7.0,8,,,0.0,0,0,0.0,0.11,7,7,1,0,0,0,1,9
Ayoub Jabbari,26,2026-05-14,FC Cincinnati,Inter Miami CF,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ayoub Jabbari,26,2026-05-03,Chicago Fire,FC Cincinnati,6.4,13,,,0.0,0,0,0.0,0.0,3,3,0,0,0,0,0,12
Ayoub Jabbari,26,2026-04-26,FC Cincinnati,New York Red Bulls,6.6,11,,,0.0,0,0,0.0,0.0,1,1,0,0,1,0,0,4
Ayoub Jabbari,26,2026-04-23,New York City FC,FC Cincinnati,6.8,18,,,0.0,0,0,0.0,0.0,3,5,1,0,0,0,2,9
Ayoub Jabbari,26,2026-04-19,FC Cincinnati,Chicago Fire,6.6,20,,,0.0,0,0,0.19,0.02,5,6,0,0,0,0,2,12
Ayoub Jabbari,26,2026-04-11,Toronto FC,FC Cincinnati,6.4,28,,,0.0,0,0,0.0,0.06,7,10,1,0,0,0,0,17
Ayoub Jabbari,26,2026-04-05,New York Red Bulls,FC Cincinnati,6.3,14,,,0.0,0,0,0.1,0.01,3,3,0,0,0,0,2,7
Ayoub Jabbari,26,2026-03-22,FC Cincinnati,CF Montréal,7.3,65,,,0.0,1,0,0.16,0.01,7,11,1,0,1,0,2,26
Ayoub Jabbari,26,2026-03-20,Tigres UANL,FC Cincinnati,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ayoub Jabbari,26,2026-03-15,New England Revolution,FC Cincinnati,6.5,45,,,0.0,0,0,0.02,0.0,5,8,0,0,1,0,1,23
Ayoub Jabbari,26,2026-03-13,FC Cincinnati,Tigres UANL,,2,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,0,3
Ayoub Jabbari,26,2026-03-08,FC Cincinnati,Toronto FC,6.5,27,,,0.0,0,0,0.0,0.01,2,4,0,0,0,0,0,7
Ayoub Jabbari,26,2026-02-28,Minnesota United,FC Cincinnati,7.1,69,,,0.0,0,0,0.25,0.17,3,4,1,0,0,0,4,25
Ayoub Jabbari,26,2026-02-26,FC Cincinnati,O&M FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
