Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Obinna Nwobodo,29,2026-05-17,San Diego FC,FC Cincinnati,6.4,17,,,0.0,0,0,0.0,0.0,7,9,0,0,0,0,0,16
Obinna Nwobodo,29,2026-05-14,FC Cincinnati,Inter Miami CF,6.2,17,,,0.0,0,0,0.0,0.0,12,14,0,0,0,0,0,14
Obinna Nwobodo,29,2026-05-10,Charlotte FC,FC Cincinnati,6.7,17,,,0.0,0,0,0.0,0.0,13,13,0,0,1,0,0,16
Obinna Nwobodo,29,2026-04-11,Toronto FC,FC Cincinnati,,1,,,0.0,0,0,0.0,0.0,2,2,0,0,1,0,0,4
Obinna Nwobodo,29,2026-04-05,New York Red Bulls,FC Cincinnati,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Obinna Nwobodo,29,2026-03-22,FC Cincinnati,CF Montréal,6.6,88,,,0.0,0,0,0.04,0.0,15,25,0,0,4,0,6,48
Obinna Nwobodo,29,2026-03-20,Tigres UANL,FC Cincinnati,6.7,28,,,0.0,0,0,0.0,0.0,3,7,0,0,0,0,2,16
Obinna Nwobodo,29,2026-03-15,New England Revolution,FC Cincinnati,6.6,45,,,0.0,0,0,0.0,0.01,10,16,0,0,0,0,2,26
Obinna Nwobodo,29,2026-03-13,FC Cincinnati,Tigres UANL,6.9,63,,,0.0,0,0,0.0,0.0,20,22,0,0,0,0,5,26
Obinna Nwobodo,29,2026-03-08,FC Cincinnati,Toronto FC,6.9,90,,,0.0,0,0,0.16,0.06,42,50,0,0,2,0,7,66
Obinna Nwobodo,29,2026-02-28,Minnesota United,FC Cincinnati,6.5,21,,,0.0,0,0,0.16,0.06,15,24,0,0,0,0,5,33
Obinna Nwobodo,29,2026-02-26,FC Cincinnati,O&M FC,8.7,84,,,0.0,0,0,0.0,0.0,39,44,5,0,1,0,7,60
Obinna Nwobodo,29,2026-02-21,FC Cincinnati,Atlanta United,6.7,9,,,0.0,0,0,0.0,0.0,2,4,0,0,1,0,1,6
Obinna Nwobodo,29,2026-02-19,O&M FC,FC Cincinnati,7.3,90,,,0.0,0,0,0.0,0.0,39,46,3,0,1,0,5,57
Obinna Nwobodo,29,2025-11-23,FC Cincinnati,Inter Miami CF,6.8,12,,,0.0,0,0,0.0,0.0,11,11,1,0,0,0,2,15
