Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Blake Gillingham,23,2026-05-17,Houston Dynamo,Vancouver Whitecaps,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Blake Gillingham,23,2026-05-14,Real Salt Lake,Houston Dynamo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Blake Gillingham,23,2026-05-11,Los Angeles FC,Houston Dynamo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Blake Gillingham,23,2026-05-03,Houston Dynamo,Colorado Rapids,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Blake Gillingham,23,2026-04-12,Colorado Rapids,Houston Dynamo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Blake Gillingham,23,2026-04-05,Houston Dynamo,Seattle Sounders FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Blake Gillingham,23,2026-03-08,Houston Dynamo 2,Tacoma Defiance,7.0,90,,,0.0,0,0,0.0,0.0,34,38,0,0,0,0,6,42
Blake Gillingham,23,2026-03-01,Houston Dynamo,Los Angeles FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Blake Gillingham,23,2026-02-22,Houston Dynamo,Chicago Fire,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Blake Gillingham,23,2025-08-06,Houston Dynamo,CF Pachuca,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Blake Gillingham,23,2025-08-03,Minnesota United FC 2,Houston Dynamo 2,7.5,90,,,0.0,0,0,0.0,0.0,14,27,0,0,0,0,6,37
Blake Gillingham,23,2025-07-30,Tigres UANL,Houston Dynamo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Blake Gillingham,23,2025-05-22,Austin FC,Houston Dynamo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Blake Gillingham,23,2025-05-11,Houston Dynamo,Seattle Sounders FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Blake Gillingham,23,2025-05-08,Phoenix Rising FC,Houston Dynamo,6.7,120,,,0.0,0,0,0.0,0.0,24,27,0,0,0,0,7,34
