Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Jimmy Maurer,37,2026-04-30,Houston Dynamo,Louisville City FC,6.8,45,,,0.0,0,0,0.0,0.0,18,23,0,0,0,0,3,28
Jimmy Maurer,37,2026-04-26,Austin FC,Houston Dynamo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jimmy Maurer,37,2026-04-23,Houston Dynamo,San Diego FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jimmy Maurer,37,2026-04-19,Orlando City SC,Houston Dynamo,6.9,45,,,0.0,0,0,0.0,0.0,5,11,0,0,0,0,5,20
Jimmy Maurer,37,2026-04-16,Houston Dynamo,El Paso Locomotive FC,6.0,90,,,0.0,0,0,0.0,0.0,23,28,0,0,0,0,3,30
Jimmy Maurer,37,2026-04-12,Colorado Rapids,Houston Dynamo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jimmy Maurer,37,2026-04-05,Houston Dynamo,Seattle Sounders FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jimmy Maurer,37,2026-03-22,FC Dallas,Houston Dynamo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jimmy Maurer,37,2026-03-15,Houston Dynamo,Portland Timbers,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jimmy Maurer,37,2026-03-01,Houston Dynamo,Los Angeles FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jimmy Maurer,37,2026-02-22,Houston Dynamo,Chicago Fire,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jimmy Maurer,37,2025-10-19,Sporting Kansas City,Houston Dynamo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jimmy Maurer,37,2025-10-05,Houston Dynamo,San Diego FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jimmy Maurer,37,2025-09-28,Nashville SC,Houston Dynamo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jimmy Maurer,37,2025-09-21,Houston Dynamo,Portland Timbers,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
