Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Jonathan Bond,32,2026-05-17,Houston Dynamo,Vancouver Whitecaps,7.1,90,,,0.0,0,0,0.0,0.0,35,37,0,0,0,0,6,44
Jonathan Bond,32,2026-05-14,Real Salt Lake,Houston Dynamo,5.9,90,,,0.0,0,0,0.0,0.0,24,28,0,0,0,0,11,40
Jonathan Bond,32,2026-05-11,Los Angeles FC,Houston Dynamo,6.8,90,,,0.0,0,0,0.0,0.0,15,22,0,0,0,0,10,39
Jonathan Bond,32,2026-05-03,Houston Dynamo,Colorado Rapids,7.1,90,,,0.0,0,0,0.0,0.0,25,33,0,0,0,0,8,45
Jonathan Bond,32,2026-04-30,Houston Dynamo,Louisville City FC,6.3,75,,,0.0,0,0,0.0,0.0,16,23,0,0,0,0,10,32
Jonathan Bond,32,2026-04-26,Austin FC,Houston Dynamo,6.2,90,,,0.0,0,0,0.0,0.0,25,28,0,0,0,0,5,33
Jonathan Bond,32,2026-04-23,Houston Dynamo,San Diego FC,7.2,90,,,0.0,0,0,0.0,0.0,20,29,0,0,0,0,6,36
Jonathan Bond,32,2026-04-19,Orlando City SC,Houston Dynamo,6.7,45,,,0.0,0,0,0.0,0.0,7,11,0,0,0,0,5,14
Jonathan Bond,32,2026-04-16,Houston Dynamo,El Paso Locomotive FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jonathan Bond,32,2026-04-12,Colorado Rapids,Houston Dynamo,5.4,90,,,0.0,0,0,0.0,0.0,26,35,0,0,0,0,11,46
Jonathan Bond,32,2026-04-05,Houston Dynamo,Seattle Sounders FC,7.5,90,,,0.0,0,0,0.0,0.0,19,24,0,0,0,0,6,30
Jonathan Bond,32,2026-03-22,FC Dallas,Houston Dynamo,7.6,90,,,0.0,0,0,0.0,0.0,18,31,0,0,0,0,12,45
Jonathan Bond,32,2026-03-15,Houston Dynamo,Portland Timbers,8.5,90,,,0.0,0,0,0.0,0.0,19,25,1,0,0,0,8,40
Jonathan Bond,32,2026-03-01,Houston Dynamo,Los Angeles FC,6.6,90,,,0.0,0,0,0.0,0.0,14,24,0,0,0,0,1,31
Jonathan Bond,32,2026-02-22,Houston Dynamo,Chicago Fire,6.5,90,,,0.0,0,0,0.0,0.0,14,17,0,0,0,0,9,26
