Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Mateusz Bogusz,24,2026-05-17,Houston Dynamo,Vancouver Whitecaps,6.8,85,,,0.0,0,0,0.12,0.1,14,16,1,0,1,0,2,33
Mateusz Bogusz,24,2026-05-14,Real Salt Lake,Houston Dynamo,6.3,45,,,0.0,0,0,0.0,0.02,17,20,0,0,0,0,0,23
Mateusz Bogusz,24,2026-05-11,Los Angeles FC,Houston Dynamo,6.5,87,,,0.0,1,0,0.36,0.01,14,18,0,0,3,0,3,50
Mateusz Bogusz,24,2026-05-03,Houston Dynamo,Colorado Rapids,6.9,90,,,0.0,0,0,0.1,0.07,17,21,1,0,0,0,2,37
Mateusz Bogusz,24,2026-04-30,Houston Dynamo,Louisville City FC,6.5,59,,,0.0,0,0,0.0,0.0,23,28,2,0,0,0,1,38
Mateusz Bogusz,24,2026-04-26,Austin FC,Houston Dynamo,6.7,90,,,0.0,0,0,0.05,0.35,25,28,1,0,3,0,3,50
Mateusz Bogusz,24,2026-04-23,Houston Dynamo,San Diego FC,7.5,75,,,0.0,0,0,0.19,0.28,15,17,1,0,0,0,1,24
Mateusz Bogusz,24,2026-04-19,Orlando City SC,Houston Dynamo,7.1,90,,,0.0,0,0,0.14,0.31,25,28,1,0,0,0,2,48
Mateusz Bogusz,24,2026-04-16,Houston Dynamo,El Paso Locomotive FC,9.2,45,,,0.0,1,0,0.0,0.0,33,35,2,0,0,0,3,47
Mateusz Bogusz,24,2026-04-12,Colorado Rapids,Houston Dynamo,6.3,85,,,0.0,0,0,0.93,0.02,15,17,0,0,0,0,1,36
Mateusz Bogusz,24,2026-04-05,Houston Dynamo,Seattle Sounders FC,6.9,90,,,0.0,0,0,0.17,0.04,30,37,1,0,0,0,3,66
Mateusz Bogusz,24,2026-03-22,FC Dallas,Houston Dynamo,6.5,90,,,0.0,0,0,0.03,0.1,21,27,1,0,0,0,3,42
Mateusz Bogusz,24,2026-03-15,Houston Dynamo,Portland Timbers,8.0,90,,,0.0,1,0,0.18,0.17,21,25,2,0,0,0,2,46
Mateusz Bogusz,24,2026-03-01,Houston Dynamo,Los Angeles FC,7.1,90,,,0.0,0,0,0.05,0.33,24,29,3,0,0,0,4,45
Mateusz Bogusz,24,2026-02-22,Houston Dynamo,Chicago Fire,6.3,90,,,0.0,0,0,0.21,0.04,12,21,1,0,0,0,5,41
