Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Elijah Wynder,23,2026-05-17,Seattle Sounders FC,LA Galaxy,6.8,90,,,0.0,0,0,0.0,0.02,33,41,0,0,1,0,1,47
Elijah Wynder,23,2026-05-14,Sporting Kansas City,LA Galaxy,6.4,45,,,0.0,0,0,0.12,0.03,21,24,3,0,0,0,2,33
Elijah Wynder,23,2026-05-10,Atlanta United,LA Galaxy,6.4,17,,,0.0,0,0,0.0,0.0,11,11,0,0,1,0,0,15
Elijah Wynder,23,2026-05-03,LA Galaxy,Vancouver Whitecaps,6.5,15,,,0.0,0,0,0.57,0.0,2,4,0,0,0,0,2,9
Elijah Wynder,23,2026-04-27,LA Galaxy,Real Salt Lake,7.1,23,,,0.0,0,0,0.0,0.02,10,10,0,0,0,0,0,16
Elijah Wynder,23,2026-04-23,Columbus Crew,LA Galaxy,6.3,62,,,0.0,0,0,0.0,0.0,20,27,0,0,1,0,2,36
Elijah Wynder,23,2026-04-19,FC Dallas,LA Galaxy,6.7,10,,,0.0,0,0,0.0,0.02,6,12,0,0,0,0,0,14
Elijah Wynder,23,2026-04-16,LA Galaxy,CD Toluca,6.5,45,,,0.0,0,0,0.0,0.0,14,17,0,0,0,0,0,24
Elijah Wynder,23,2026-04-11,Austin FC,LA Galaxy,6.4,18,,,0.0,0,0,0.0,0.0,3,4,0,0,0,0,1,10
Elijah Wynder,23,2026-04-09,CD Toluca,LA Galaxy,6.4,58,,,0.0,0,0,0.0,0.0,11,17,0,0,1,0,5,22
Elijah Wynder,23,2026-04-05,LA Galaxy,Minnesota United,6.1,76,,,0.0,0,0,0.0,0.01,42,49,0,0,0,0,3,55
Elijah Wynder,23,2026-03-22,Portland Timbers,LA Galaxy,6.3,72,,,0.0,0,0,0.08,0.09,30,37,1,0,0,0,3,47
Elijah Wynder,23,2026-03-19,Mount Pleasant FA,LA Galaxy,6.3,58,,,0.0,0,0,0.0,0.0,21,26,0,0,0,0,0,32
Elijah Wynder,23,2026-03-15,LA Galaxy,Sporting Kansas City,6.6,79,,,0.0,0,0,0.03,0.02,35,41,1,0,1,0,3,50
Elijah Wynder,23,2026-03-12,LA Galaxy,Mount Pleasant FA,7.3,90,,,0.0,0,0,0.0,0.0,51,57,1,0,1,0,5,79
