Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Charles-Emile Brunet,22,2026-05-14,New England Revolution,Nashville SC,6.8,15,,,0.0,0,0,0.0,0.01,19,20,0,0,0,0,2,24
Charles-Emile Brunet,22,2026-05-10,Nashville SC,DC United,7.0,28,,,0.0,0,0,0.0,0.05,28,29,0,0,0,0,1,30
Charles-Emile Brunet,22,2026-05-06,Tigres UANL,Nashville SC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Charles-Emile Brunet,22,2026-05-03,Chattanooga FC,Huntsville City FC,6.5,90,,,0.0,0,0,0.0,0.01,45,51,1,0,0,0,2,66
Charles-Emile Brunet,22,2026-04-19,Inter Miami CF II,Huntsville City FC,7.5,90,,,0.0,0,0,0.0,0.0,43,46,2,0,1,0,6,76
Charles-Emile Brunet,22,2026-03-22,Huntsville City FC,Chattanooga FC,6.9,90,,,0.0,0,0,0.0,0.0,62,65,2,0,1,0,8,76
Charles-Emile Brunet,22,2026-03-15,Atlanta United 2,Huntsville City FC,6.9,90,,,0.0,0,0,0.0,0.0,71,77,0,0,0,0,7,93
Charles-Emile Brunet,22,2026-03-07,Crown Legacy FC,Huntsville City FC,6.9,61,,,0.0,0,0,0.0,0.0,39,43,2,0,0,0,4,54
Charles-Emile Brunet,22,2026-02-25,Nashville SC,Atlético Ottawa,6.8,26,,,0.0,0,0,0.0,0.0,27,27,0,0,0,0,2,32
Charles-Emile Brunet,22,2026-02-18,Atlético Ottawa,Nashville SC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Charles-Emile Brunet,22,2025-11-16,Virginia Cavaliers,SMU Mustangs,7.0,90,,,0.0,0,0,0.02,0.0,38,44,0,0,1,0,7,61
Charles-Emile Brunet,22,2025-11-14,Syracuse Orange,SMU Mustangs,8.5,90,,,0.0,1,0,0.1,0.01,38,43,2,0,4,0,13,62
Charles-Emile Brunet,22,2025-11-10,Stanford Cardinal,SMU Mustangs,7.0,90,,,0.0,0,0,0.02,0.0,28,38,0,0,2,0,13,48
Charles-Emile Brunet,22,2025-11-06,SMU Mustangs,Wake Forest Demon Deacons,7.4,90,,,0.0,0,0,0.11,0.31,33,42,2,0,2,0,4,60
Charles-Emile Brunet,22,2025-11-01,SMU Mustangs,Virginia Cavaliers,7.6,90,,,0.0,0,0,0.02,0.05,58,65,3,0,2,0,11,84
