Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Andrew Farrell,34,2026-05-17,New England Revolution,Minnesota United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andrew Farrell,34,2026-05-14,New England Revolution,Nashville SC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andrew Farrell,34,2026-05-10,New England Revolution,Philadelphia Union,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andrew Farrell,34,2026-05-03,New England Revolution,Charlotte FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andrew Farrell,34,2026-04-30,New England Revolution,Orlando City SC,7.2,90,,,0.0,1,0,0.0,0.0,41,46,0,0,0,0,2,58
Andrew Farrell,34,2026-04-26,Inter Miami CF,New England Revolution,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andrew Farrell,34,2026-04-23,Atlanta United,New England Revolution,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andrew Farrell,34,2026-04-19,New England Revolution,Columbus Crew,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andrew Farrell,34,2026-04-15,New England Revolution,Rhode Island FC,7.0,34,,,0.0,0,0,0.0,0.0,22,25,0,0,0,0,1,33
Andrew Farrell,34,2026-04-12,New England Revolution,DC United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andrew Farrell,34,2026-02-28,New York Red Bulls,New England Revolution,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andrew Farrell,34,2026-02-22,Nashville SC,New England Revolution,6.1,90,,,0.0,0,0,0.0,0.01,54,59,0,0,4,0,4,77
Andrew Farrell,34,2025-10-18,New England Revolution,Chicago Fire,6.3,19,,,0.0,0,0,0.0,0.0,4,4,0,0,0,0,0,9
Andrew Farrell,34,2025-10-05,Inter Miami CF,New England Revolution,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andrew Farrell,34,2025-09-28,New England Revolution,Atlanta United,6.5,9,,,0.0,0,0,0.0,0.0,3,3,0,0,0,0,0,3
