Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Matthew Freese,27,2026-05-17,New York Red Bulls,New York City FC,7.8,90,,,0.0,0,0,0.0,0.0,22,32,0,0,0,0,12,46
Matthew Freese,27,2026-05-14,Charlotte FC,New York City FC,6.9,90,,,0.0,0,0,0.0,0.0,15,18,0,0,0,0,8,29
Matthew Freese,27,2026-05-10,New York City FC,Columbus Crew,7.5,90,,,0.0,0,0,0.0,0.0,34,42,0,0,0,0,9,51
Matthew Freese,27,2026-05-03,New York City FC,DC United,7.6,90,,,0.0,0,0,0.0,0.0,19,19,0,0,0,0,10,36
Matthew Freese,27,2026-04-30,New York Red Bulls,New York City FC,6.8,90,,,0.0,0,0,0.0,0.0,21,26,0,0,0,0,12,43
Matthew Freese,27,2026-04-25,CF Montréal,New York City FC,6.7,90,,,0.0,0,0,0.0,0.0,16,17,0,0,0,0,9,28
Matthew Freese,27,2026-04-23,New York City FC,FC Cincinnati,6.2,90,,,0.0,0,0,0.0,0.0,16,22,0,0,0,0,3,28
Matthew Freese,27,2026-04-19,New York City FC,Charlotte FC,6.6,90,,,0.0,0,0,0.0,0.0,17,18,0,0,0,0,10,31
Matthew Freese,27,2026-04-12,Vancouver Whitecaps,New York City FC,8.3,90,,,0.0,0,0,0.0,0.0,20,24,0,0,0,0,9,41
Matthew Freese,27,2026-04-05,New York City FC,St.Louis City,7.1,90,,,0.0,0,0,0.0,0.0,29,35,0,0,0,0,5,41
Matthew Freese,27,2026-04-01,USA,Portugal,7.3,90,,,0.0,0,0,0.0,0.0,16,22,0,0,0,0,4,29
Matthew Freese,27,2026-03-28,USA,Belgium,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Matthew Freese,27,2026-03-22,New York City FC,Inter Miami CF,6.9,90,,,0.0,0,0,0.03,0.0,9,13,0,0,0,0,7,24
Matthew Freese,27,2026-03-14,New York City FC,Colorado Rapids,6.3,90,,,0.0,0,0,0.0,0.0,18,30,0,0,0,0,3,36
Matthew Freese,27,2026-03-07,New York City FC,Orlando City SC,7.2,90,,,0.0,0,0,0.0,0.0,17,18,0,0,0,0,5,25
