Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Joyeux Masanka Bungi,19,2026-05-08,Toronto FC II,New York Red Bulls II,7.5,90,,,0.0,0,0,0.0,0.06,58,67,1,0,0,0,8,95
Joyeux Masanka Bungi,19,2026-05-03,Philadelphia Union II,New York Red Bulls II,6.3,59,,,0.0,0,0,0.0,0.0,21,29,0,0,0,0,0,50
Joyeux Masanka Bungi,19,2026-04-26,FC Cincinnati,New York Red Bulls,5.5,45,,,0.0,0,0,0.0,0.0,8,12,0,0,1,0,3,23
Joyeux Masanka Bungi,19,2026-04-23,New York Red Bulls,DC United,6.2,45,,,0.0,0,0,0.0,0.0,9,14,0,0,0,0,1,36
Joyeux Masanka Bungi,19,2026-04-12,Inter Miami CF,New York Red Bulls,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joyeux Masanka Bungi,19,2026-03-28,Czechia U19,Belgium U19,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joyeux Masanka Bungi,19,2026-03-25,Belgium U19,Denmark U19,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joyeux Masanka Bungi,19,2025-12-12,1. FC Union Berlin,RB Leipzig,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joyeux Masanka Bungi,19,2025-09-29,Wolverhampton U21,RB Leipzig U21,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joyeux Masanka Bungi,19,2024-11-05,Celtic U19,RB Leipzig U19,,90,,,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0
Joyeux Masanka Bungi,19,2024-10-23,RB Leipzig U19,Liverpool U19,7.1,87,,,0.0,0,0,0.0,0.0,23,31,3,0,1,0,12,63
