Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Olivier Mbaizo,28,2026-05-17,Philadelphia Union,Columbus Crew,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Olivier Mbaizo,28,2026-05-14,Orlando City SC,Philadelphia Union,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Olivier Mbaizo,28,2026-05-10,New England Revolution,Philadelphia Union,6.5,59,,,0.0,0,0,0.0,0.03,26,30,0,0,1,0,3,48
Olivier Mbaizo,28,2026-02-27,Philadelphia Union,Defence Force FC,6.5,90,,,0.0,0,0,0.0,0.0,43,47,0,0,1,0,2,59
Olivier Mbaizo,28,2025-11-24,Philadelphia Union,New York City FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Olivier Mbaizo,28,2025-11-01,Chicago Fire,Philadelphia Union,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Olivier Mbaizo,28,2025-10-26,Philadelphia Union,Chicago Fire,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Olivier Mbaizo,28,2025-10-18,Charlotte FC,Philadelphia Union,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Olivier Mbaizo,28,2025-10-05,Philadelphia Union,New York City FC,6.7,9,,,0.0,0,0,0.0,0.0,1,2,0,0,0,0,0,8
Olivier Mbaizo,28,2025-09-28,DC United,Philadelphia Union,6.7,8,,,0.0,0,0,0.0,0.0,3,4,0,0,0,0,1,7
Olivier Mbaizo,28,2025-09-20,Philadelphia Union,New England Revolution,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Olivier Mbaizo,28,2025-09-14,Vancouver Whitecaps,Philadelphia Union,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Olivier Mbaizo,28,2025-08-31,FC Cincinnati,Philadelphia Union,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Olivier Mbaizo,28,2025-08-24,Philadelphia Union,Chicago Fire,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Olivier Mbaizo,28,2025-08-17,New York Red Bulls,Philadelphia Union,6.0,90,,,0.0,0,0,0.0,0.07,24,31,0,0,1,0,4,64
