Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Kobi Henry,22,2026-05-14,Real Monarchs SLC,The Town FC,6.4,63,,,0.0,0,0,0.13,0.02,32,35,0,0,1,0,8,46
Kobi Henry,22,2026-05-10,FC Dallas,Real Salt Lake,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Kobi Henry,22,2026-04-23,Real Salt Lake,Inter Miami CF,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Kobi Henry,22,2026-03-15,Real Monarchs SLC,Los Angeles FC 2,6.5,45,,,0.0,0,0,0.0,0.0,29,33,0,0,0,0,1,38
Kobi Henry,22,2026-03-15,Real Salt Lake,Austin FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Kobi Henry,22,2025-11-19,Trinidad and Tobago,Bermuda,7.5,90,,,0.0,1,0,0.0,0.0,53,55,0,0,2,0,4,66
Kobi Henry,22,2025-11-14,Trinidad and Tobago,Jamaica,6.7,90,,,0.0,0,0,0.0,0.0,59,71,0,0,1,0,2,81
Kobi Henry,22,2025-10-20,Real Monarchs SLC,Minnesota United FC 2,6.5,11,,,0.0,0,0,0.0,0.0,2,5,0,0,0,0,0,9
Kobi Henry,22,2025-10-15,Curaçao,Trinidad and Tobago,7.5,90,,,0.0,0,0,0.0,0.0,38,42,0,0,2,0,3,61
Kobi Henry,22,2025-10-10,Bermuda,Trinidad and Tobago,8.2,90,,,0.0,1,0,0.0,0.0,33,40,0,0,1,0,7,51
Kobi Henry,22,2025-10-05,Real Monarchs SLC,Vancouver Whitecaps FC II,6.6,17,,,0.0,0,0,0.0,0.0,6,6,0,0,0,0,1,9
Kobi Henry,22,2025-09-20,Los Angeles FC 2,Real Monarchs SLC,7.0,90,,,0.0,0,0,0.0,0.0,29,37,0,0,2,0,2,52
Kobi Henry,22,2025-09-10,Jamaica,Trinidad and Tobago,7.0,90,,,0.0,0,0,0.0,0.0,43,46,0,0,0,0,0,61
Kobi Henry,22,2025-09-06,Trinidad and Tobago,Curaçao,7.4,90,,,0.0,0,0,0.0,0.0,33,46,0,0,2,0,7,58
