Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Luis Rivera,18,2026-05-14,Real Monarchs SLC,The Town FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Luis Rivera,18,2026-05-10,Los Angeles FC 2,Real Monarchs SLC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Luis Rivera,18,2026-05-03,Real Monarchs SLC,Portland Timbers II,5.9,45,,,0.0,0,0,0.0,0.0,30,31,1,0,1,0,0,37
Luis Rivera,18,2026-04-13,Ventura County FC,Real Monarchs SLC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Luis Rivera,18,2026-03-22,Real Monarchs SLC,Vancouver Whitecaps FC II,6.4,45,,,0.0,0,0,0.0,0.0,37,43,0,0,0,0,0,43
Luis Rivera,18,2026-03-15,Real Monarchs SLC,Los Angeles FC 2,6.7,90,,,0.0,0,0,0.0,0.0,52,59,1,0,2,0,1,74
Luis Rivera,18,2026-03-09,Sporting Kansas City II,Real Monarchs SLC,7.1,72,,,0.0,0,0,0.0,0.0,34,38,1,0,0,0,2,40
Luis Rivera,18,2026-03-01,Real Monarchs SLC,North Texas SC,6.5,67,,,0.0,0,0,0.0,0.0,53,60,0,0,1,0,1,68
Luis Rivera,18,2025-10-05,Real Monarchs SLC,Vancouver Whitecaps FC II,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Luis Rivera,18,2025-09-28,North Texas SC,Real Monarchs SLC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Luis Rivera,18,2025-09-20,Los Angeles FC 2,Real Monarchs SLC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Luis Rivera,18,2025-09-15,Real Monarchs SLC,Ventura County FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Luis Rivera,18,2025-09-06,Sporting Kansas City II,Real Monarchs SLC,6.9,78,,,0.0,0,0,0.0,0.04,40,44,0,0,0,0,3,53
Luis Rivera,18,2025-09-01,Real Monarchs SLC,Tacoma Defiance,6.9,45,,,0.0,0,0,0.0,0.01,21,24,1,0,0,0,1,32
Luis Rivera,18,2025-08-25,Real Monarchs SLC,Minnesota United FC 2,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
