Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Ian Pilcher,23,2026-05-17,San Diego FC,FC Cincinnati,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ian Pilcher,23,2026-05-14,San Diego FC,Austin FC,6.7,8,,,0.0,0,0,0.0,0.0,2,2,0,0,0,0,1,3
Ian Pilcher,23,2026-05-10,Seattle Sounders FC,San Diego FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ian Pilcher,23,2026-05-03,San Diego FC,Los Angeles FC,5.8,23,,,0.0,0,0,0.0,0.0,2,6,0,0,0,0,1,11
Ian Pilcher,23,2026-04-26,San Diego FC,Portland Timbers,6.5,59,,,0.0,0,0,0.0,0.02,50,52,0,0,0,0,5,64
Ian Pilcher,23,2026-04-23,Houston Dynamo,San Diego FC,7.1,13,,,0.0,0,0,0.0,0.03,19,20,0,0,0,0,1,23
Ian Pilcher,23,2026-03-19,CD Toluca,San Diego FC,5.8,62,,,0.0,0,0,0.0,0.0,14,17,0,0,0,0,1,22
Ian Pilcher,23,2026-03-15,FC Dallas,San Diego FC,6.2,45,,,0.0,0,0,0.0,0.0,21,23,0,0,0,0,0,29
Ian Pilcher,23,2026-03-12,San Diego FC,CD Toluca,6.2,29,,,0.0,0,0,0.0,0.0,0,6,0,0,0,0,2,16
Ian Pilcher,23,2026-03-08,Sporting Kansas City,San Diego FC,,1,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ian Pilcher,23,2026-03-02,San Diego FC,St.Louis City,,1,,,0.0,0,0,0.0,0.0,3,3,0,0,0,0,0,5
Ian Pilcher,23,2026-02-22,San Diego FC,CF Montréal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ian Pilcher,23,2026-02-11,Pumas UNAM,San Diego FC,6.6,13,,,0.0,0,0,0.0,0.0,2,3,0,0,0,0,0,4
Ian Pilcher,23,2026-02-04,San Diego FC,Pumas UNAM,6.8,15,,,0.0,0,0,0.0,0.0,12,12,0,0,0,0,0,12
Ian Pilcher,23,2025-11-30,San Diego FC,Vancouver Whitecaps,5.9,45,,,0.0,0,0,0.0,0.04,18,25,0,0,1,0,0,33
