Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Sam Adekugbe,31,2026-04-27,Vancouver Whitecaps FC II,Colorado Rapids 2,7.0,45,,,0.0,0,0,0.0,0.0,33,35,1,0,1,0,1,47
Sam Adekugbe,31,2025-06-11,Canada,Côte d'Ivoire,6.6,83,,,0.0,0,0,0.0,0.0,25,32,0,0,0,0,5,58
Sam Adekugbe,31,2025-06-07,Canada,Ukraine,6.1,10,,,0.0,0,0,0.0,0.0,3,3,0,0,0,0,0,5
Sam Adekugbe,31,2025-06-02,Cruz Azul,Vancouver Whitecaps,6.0,90,,,0.0,0,0,0.0,0.0,25,30,0,0,1,0,1,44
Sam Adekugbe,31,2025-05-29,Vancouver Whitecaps,Minnesota United,6.6,10,,,0.0,0,0,0.0,0.01,10,10,0,0,0,0,0,10
Sam Adekugbe,31,2025-05-25,Real Salt Lake,Vancouver Whitecaps,6.7,68,,,0.0,0,0,0.02,0.01,43,49,0,0,0,0,1,64
Sam Adekugbe,31,2025-05-21,Valour FC,Vancouver Whitecaps,7.3,64,,,0.0,1,0,0.0,0.0,47,49,0,0,0,0,3,67
Sam Adekugbe,31,2025-05-18,Austin FC,Vancouver Whitecaps,6.9,45,,,0.0,0,0,0.0,0.01,17,20,0,0,0,0,0,28
Sam Adekugbe,31,2025-05-04,Vancouver Whitecaps,Real Salt Lake,6.1,13,,,0.0,0,0,0.0,0.0,11,12,0,0,0,0,0,16
Sam Adekugbe,31,2025-05-01,Inter Miami CF,Vancouver Whitecaps,6.5,45,,,0.0,0,0,0.0,0.0,11,15,0,0,1,0,4,25
Sam Adekugbe,31,2025-04-27,Minnesota United,Vancouver Whitecaps,6.9,45,,,0.0,0,0,0.0,0.01,32,38,0,0,0,0,1,51
Sam Adekugbe,31,2025-04-25,Vancouver Whitecaps,Inter Miami CF,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Sam Adekugbe,31,2025-03-02,Vancouver Whitecaps,LA Galaxy,7.5,32,,,0.0,1,0,0.43,0.01,15,18,0,0,2,0,3,25
Sam Adekugbe,31,2025-02-28,Vancouver Whitecaps,Deportivo Saprissa,7.0,76,,,0.0,0,0,0.0,0.0,47,59,0,0,1,0,6,73
Sam Adekugbe,31,2025-02-23,Portland Timbers,Vancouver Whitecaps,8.1,82,,,0.0,1,0,0.9,0.18,67,70,2,0,1,0,1,84
