Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Gabriel Jesus,2026-02-22,Tottenham Hotspur,Arsenal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,29
Gabriel Jesus,2026-03-01,Arsenal,Chelsea,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,29
Gabriel Jesus,2026-03-04,Brighton & Hove Albion,Arsenal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,29
Gabriel Jesus,2026-03-07,Mansfield Town,Arsenal,6.1,90,9720.0,18.0,108.0,0,0,0.0,0.0,12,18,0,0,0,0,1,35,0.0,1.85,29
Gabriel Jesus,2026-03-11,Bayer 04 Leverkusen,Arsenal,6.4,8,864.0,2.0,108.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,2.31,29
Gabriel Jesus,2026-03-14,Arsenal,Everton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,29
Gabriel Jesus,2026-03-17,Arsenal,Bayer 04 Leverkusen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,29
Gabriel Jesus,2026-03-22,Arsenal,Manchester City,6.7,8,864.0,2.0,108.0,0,0,0.0,0.0,4,5,0,0,0,0,2,9,0.0,2.31,29
Gabriel Jesus,2026-04-04,Southampton,Arsenal,6.0,60,6480.0,12.0,108.0,0,0,0.0,0.0,16,18,1,0,0,0,0,29,0.0,1.85,29
Gabriel Jesus,2026-04-07,Sporting CP,Arsenal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,29
Gabriel Jesus,2026-04-11,Arsenal,Bournemouth,6.7,14,1512.0,3.0,108.0,0,0,0.08,0.04,7,8,1,0,0,0,0,13,0.0,1.98,29
Gabriel Jesus,2026-04-15,Arsenal,Sporting CP,6.5,11,1188.0,2.0,108.0,0,0,0.02,0.01,6,7,0,0,0,0,1,13,0.0,1.68,29
Gabriel Jesus,2026-04-19,Manchester City,Arsenal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,29
Gabriel Jesus,2026-04-25,Arsenal,Newcastle United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,29
Gabriel Jesus,2026-04-29,Atlético Madrid,Arsenal,6.6,21,2268.0,4.0,108.0,0,0,0.0,0.0,6,8,0,0,0,0,0,13,0.0,1.76,29
