Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Jurriën Timber,2026-01-14,Chelsea,Arsenal,6.3,90,9720.0,18.0,108.0,0,0,0.0,0.0,22,23,1,0,0,0,4,40,0,1.85,24
Jurriën Timber,2026-01-17,Nottingham Forest,Arsenal,6.6,90,9720.0,18.0,108.0,0,0,0.1,0.02,32,39,0,0,0,0,1,46,0,1.85,24
Jurriën Timber,2026-01-20,Inter,Arsenal,5.8,64,6912.0,13.0,108.0,0,0,0.07,0.03,32,36,3,0,1,0,2,52,0,1.88,24
Jurriën Timber,2026-01-25,Arsenal,Manchester United,5.8,90,9720.0,18.0,108.0,0,0,0.0,0.01,30,35,0,0,0,0,1,41,0,1.85,24
Jurriën Timber,2026-01-31,Leeds United,Arsenal,7.3,90,9720.0,18.0,108.0,0,0,0.14,0.21,25,32,1,0,0,0,5,62,0,1.85,24
Jurriën Timber,2026-02-03,Arsenal,Chelsea,6.8,90,9720.0,18.0,108.0,0,0,0.0,0.0,30,31,0,0,2,0,1,48,0,1.85,24
Jurriën Timber,2026-02-07,Arsenal,Sunderland,7.0,90,9720.0,18.0,108.0,0,0,0.0,0.02,25,33,0,0,3,0,6,50,0,1.85,24
Jurriën Timber,2026-02-12,Brentford,Arsenal,6.7,90,9720.0,18.0,108.0,0,0,0.0,0.1,29,35,1,0,1,0,4,57,0,1.85,24
Jurriën Timber,2026-02-18,Wolverhampton,Arsenal,6.2,90,9720.0,18.0,108.0,0,0,0.0,0.03,41,51,0,0,1,0,6,75,0,1.85,24
Jurriën Timber,2026-02-22,Tottenham Hotspur,Arsenal,6.6,57,6156.0,11.0,108.0,0,0,0.0,0.2,38,42,3,0,0,0,2,56,0,1.79,24
Jurriën Timber,2026-03-01,Arsenal,Chelsea,7.5,90,9720.0,18.0,108.0,1,0,0.4,0.01,25,27,1,0,0,0,4,42,0,1.85,24
Jurriën Timber,2026-03-04,Brighton & Hove Albion,Arsenal,7.2,90,9720.0,18.0,108.0,0,0,0.0,0.07,13,21,2,0,3,0,1,51,0,1.85,24
Jurriën Timber,2026-03-07,Mansfield Town,Arsenal,6.8,28,3024.0,6.0,108.0,0,0,0.0,0.0,15,19,0,0,0,0,3,22,0,1.98,24
Jurriën Timber,2026-03-11,Bayer 04 Leverkusen,Arsenal,6.2,90,9720.0,18.0,108.0,0,0,0.43,0.13,28,36,0,0,1,0,3,47,0,1.85,24
Jurriën Timber,2026-03-14,Arsenal,Everton,6.6,38,4104.0,8.0,108.0,0,0,0.0,0.01,10,11,0,0,0,0,1,22,0,1.95,24
