Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Tyrique George,2026-01-14,Chelsea,Arsenal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,20
Tyrique George,2026-01-17,Chelsea,Brentford,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,20
Tyrique George,2026-01-21,Chelsea,Pafos FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,20
Tyrique George,2026-01-28,Napoli,Chelsea,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,20
Tyrique George,2026-02-07,Fulham,Everton,6.5,21,2268.0,4.0,108.0,0,0,0.08,0.02,9,11,0,0,0,0,2,14,0,1.76,20
Tyrique George,2026-02-10,Everton,Bournemouth,5.6,62,6696.0,12.0,108.0,0,0,0.0,0.02,19,27,0,0,1,0,4,37,0,1.79,20
Tyrique George,2026-02-23,Everton,Manchester United,6.7,17,1836.0,3.0,108.0,0,0,0.04,0.01,5,7,0,0,0,0,0,14,0,1.63,20
Tyrique George,2026-02-28,Newcastle United,Everton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,20
Tyrique George,2026-03-03,Everton,Burnley,6.5,12,1296.0,2.0,108.0,0,0,0.0,0.0,1,2,0,0,0,0,2,2,0,1.54,20
Tyrique George,2026-03-14,Arsenal,Everton,,1,108.0,0.0,108.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.0,20
Tyrique George,2026-04-11,Brentford,Everton,6.6,16,1728.0,3.0,108.0,0,0,0.08,0.04,5,6,0,0,0,0,1,12,0,1.74,20
Tyrique George,2026-04-19,Everton,Liverpool,6.6,10,1080.0,2.0,108.0,0,0,0.0,0.0,2,2,0,0,0,0,1,9,0,1.85,20
Tyrique George,2026-04-25,West Ham United,Everton,6.9,25,2700.0,5.0,108.0,0,0,0.07,0.54,13,14,1,0,0,0,1,21,0,1.85,20
