Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Rio Ngumoha,17,2026-03-10,Galatasaray,Liverpool FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Rio Ngumoha,17,2026-03-15,Liverpool FC,Tottenham Hotspur,8.1,64,,,0.0,0,0,0.25,0.23,28,31,0,0,1,0,1,51
Rio Ngumoha,17,2026-03-18,Liverpool FC,Galatasaray,,1,,,0.0,0,0,0.0,0.09,4,4,3,0,0,0,1,7
Rio Ngumoha,17,2026-03-21,Brighton & Hove Albion,Liverpool FC,7.0,27,,,0.0,0,0,0.0,0.03,4,4,0,0,0,0,1,16
Rio Ngumoha,17,2026-03-25,England U19,Serbia U19,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Rio Ngumoha,17,2026-03-28,England U19,Poland U19,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Rio Ngumoha,17,2026-03-31,Portugal U19,England U19,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Rio Ngumoha,17,2026-04-04,Manchester City,Liverpool FC,6.4,22,,,0.0,0,0,0.0,0.0,13,16,0,0,0,0,0,24
Rio Ngumoha,17,2026-04-08,Paris Saint-Germain,Liverpool FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Rio Ngumoha,17,2026-04-11,Liverpool FC,Fulham,8.7,69,,,0.0,1,0,0.12,0.43,22,26,2,0,0,0,5,43
Rio Ngumoha,17,2026-04-14,Liverpool FC,Paris Saint-Germain,6.8,23,,,0.0,0,0,0.15,0.04,8,11,2,0,0,0,2,20
Rio Ngumoha,17,2026-04-19,Everton,Liverpool FC,6.3,18,,,0.0,0,0,0.1,0.01,4,5,0,0,0,0,0,9
Rio Ngumoha,17,2026-04-25,Liverpool FC,Crystal Palace,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Rio Ngumoha,17,2026-05-03,Manchester United,Liverpool FC,6.7,15,,,0.0,0,0,0.05,0.02,11,12,1,0,1,0,0,19
Rio Ngumoha,17,2026-05-09,Liverpool FC,Chelsea,7.3,67,,,0.0,0,0,0.0,0.06,12,13,1,0,1,0,5,29
Rio Ngumoha,17,2026-05-15,Aston Villa,Liverpool FC,6.6,90,,,0.0,0,0,0.11,0.12,15,16,2,0,0,0,1,35
