Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Max Alleyne,2026-01-13,Newcastle United,Manchester City,7.1,90,9720.0,18.0,108.0,0,0,0.0,0.0,54,65,1,0,3,0,4,75,0,1.85,20
Max Alleyne,2026-01-17,Manchester United,Manchester City,6.8,45,4860.0,9.0,108.0,0,0,0.1,0.01,43,45,0,0,0,0,1,49,0,1.85,20
Max Alleyne,2026-01-20,Bodø/Glimt,Manchester City,5.9,90,9720.0,18.0,108.0,0,0,0.3,0.04,117,124,0,0,0,0,6,135,0,1.85,20
Max Alleyne,2026-01-24,Manchester City,Wolverhampton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,20
Max Alleyne,2026-01-28,Manchester City,Galatasaray,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,20
Max Alleyne,2026-02-01,Tottenham Hotspur,Manchester City,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,20
Max Alleyne,2026-02-04,Manchester City,Newcastle United,6.8,45,4860.0,9.0,108.0,0,0,0.0,0.0,40,42,0,0,0,0,2,47,0,1.85,20
Max Alleyne,2026-02-08,Liverpool,Manchester City,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,20
Max Alleyne,2026-02-11,Manchester City,Fulham,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,20
Max Alleyne,2026-02-14,Manchester City,Salford City,6.8,22,2376.0,4.0,108.0,0,0,0.0,0.0,6,10,0,0,0,0,2,14,0,1.68,20
Max Alleyne,2026-03-11,Real Madrid,Manchester City,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,20
