Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Soungoutou Magassa,22,2026-01-24,West Ham United,Sunderland,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Soungoutou Magassa,22,2026-01-31,Chelsea,West Ham United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Soungoutou Magassa,22,2026-02-07,Burnley,West Ham United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Soungoutou Magassa,22,2026-02-10,West Ham United,Manchester United,6.9,11,1188.0,2.0,108.0,0,0,0.0,0.02,4,7,1,0,0,0,0,12,0.0,1.68
Soungoutou Magassa,22,2026-02-14,Burton Albion,West Ham United,6.9,120,12960.0,24.0,108.0,0,0,0.0,0.0,52,66,1,0,3,0,7,109,0.0,1.85
Soungoutou Magassa,22,2026-02-21,West Ham United,Bournemouth,6.8,84,9072.0,17.0,108.0,0,0,0.13,0.01,22,28,0,0,1,0,2,44,0.0,1.87
Soungoutou Magassa,22,2026-02-28,Liverpool,West Ham United,6.3,76,8208.0,15.0,108.0,0,0,0.0,0.01,22,29,0,0,2,0,4,38,0.0,1.83
Soungoutou Magassa,22,2026-03-04,Fulham,West Ham United,7.0,30,3240.0,6.0,108.0,0,0,0.0,0.0,10,10,0,0,0,0,1,16,0.0,1.85
Soungoutou Magassa,22,2026-03-09,West Ham United,Brentford,6.5,44,4752.0,9.0,108.0,0,0,0.0,0.0,14,19,0,0,0,0,2,25,0.0,1.89
Soungoutou Magassa,22,2026-03-14,West Ham United,Manchester City,6.8,26,2808.0,5.0,108.0,0,0,0.0,0.0,3,4,0,0,0,0,1,10,0.0,1.78
Soungoutou Magassa,22,2026-03-22,Aston Villa,West Ham United,6.5,12,1296.0,2.0,108.0,0,0,0.0,0.0,6,7,0,0,0,0,0,8,0.0,1.54
Soungoutou Magassa,22,2026-04-05,West Ham United,Leeds United,6.6,45,4860.0,9.0,108.0,0,0,0.0,0.0,20,26,0,0,0,0,3,36,0.0,1.85
Soungoutou Magassa,22,2026-04-10,West Ham United,Wolverhampton,6.7,10,1080.0,2.0,108.0,0,0,0.0,0.0,6,6,0,0,0,0,2,7,0.0,1.85
Soungoutou Magassa,22,2026-04-20,Crystal Palace,West Ham United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Soungoutou Magassa,22,2026-04-25,West Ham United,Everton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Soungoutou Magassa,22,2026-05-02,Brentford,West Ham United,6.6,11,,,0.0,0,0,0.0,0.0,8,9,0,0,0,0,1,9,,
Soungoutou Magassa,22,2026-05-10,West Ham United,Arsenal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,
