Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Moctar Diop,21,2026-04-12,KAA Gent Reserve U23,RFC Liège,6.4,66,,,0.0,0,0,0.12,0.03,9,13,1,0,0,0,2,27
Moctar Diop,21,2026-03-21,KAA Gent Reserve U23,Club NXT U23,6.3,45,,,0.0,0,0,0.41,0.0,7,10,0,0,0,0,1,18
Moctar Diop,21,2026-03-15,KSC Lokeren,KAA Gent Reserve U23,6.5,90,,,0.0,0,0,0.12,0.02,12,17,1,0,1,0,0,30
Moctar Diop,21,2026-03-06,KAS Eupen,KAA Gent Reserve U23,6.8,62,,,0.0,0,0,0.0,0.0,8,14,0,0,0,0,2,25
Moctar Diop,21,2026-03-01,KRC Genk,KAA Gent,6.4,16,,,0.0,0,0,0.07,0.01,2,2,0,0,0,0,0,6
Moctar Diop,21,2026-02-21,Koninklijke Lierse Sportkring,KAA Gent Reserve U23,7.1,61,,,0.0,0,0,0.12,0.0,6,6,0,0,0,0,0,17
Moctar Diop,21,2026-02-20,KAA Gent,Cercle Brugge,6.4,13,,,0.0,0,0,0.0,0.0,2,5,0,0,0,0,0,6
Moctar Diop,21,2026-02-14,RC Sporting Charleroi,KAA Gent,,1,,,0.0,0,0,0.0,0.0,1,2,0,0,0,0,0,3
Moctar Diop,21,2025-12-06,Lillestrøm SK,Sarpsborg 08,6.7,15,,,0.0,0,0,0.01,0.0,2,2,0,0,0,0,0,4
Moctar Diop,21,2025-11-08,Lillestrøm SK,Stabæk Fotball,6.5,88,,,0.0,0,0,0.64,0.0,9,12,0,0,0,0,2,25
Moctar Diop,21,2025-11-01,Kongsvinger,Lillestrøm SK,6.5,90,,,0.0,0,0,0.93,0.0,5,8,0,0,0,0,0,23
Moctar Diop,21,2025-10-25,Lillestrøm SK,Ranheim IL,6.7,59,,,0.0,0,0,0.0,0.04,7,10,1,0,0,0,2,17
Moctar Diop,21,2025-10-22,Odds BK,Lillestrøm SK,8.0,63,,,0.0,1,0,0.59,0.05,10,11,1,0,0,0,2,24
Moctar Diop,21,2025-10-17,Lillestrøm SK,Lyn FK,7.8,62,,,0.0,1,0,0.24,0.35,5,6,1,0,0,0,4,11
