Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Robin van Duiven,20,2026-05-09,K. Beerschot V.A.,Lommel SK,6.7,20,,,0.0,0,0,0.0,0.01,3,4,1,0,0,0,0,11
Robin van Duiven,20,2026-05-02,Lommel SK,K. Beerschot V.A.,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Robin van Duiven,20,2026-04-27,RFC Liège,Lommel SK,6.2,25,,,0.0,0,0,0.4,0.0,4,5,0,0,0,0,0,15
Robin van Duiven,20,2026-04-23,Lommel SK,RFC Liège,6.5,12,,,0.0,0,0,0.0,0.0,3,3,0,0,0,0,0,4
Robin van Duiven,20,2026-04-17,K. Beerschot V.A.,Lommel SK,6.2,22,,,0.0,0,0,0.19,0.0,1,3,0,0,0,0,0,6
Robin van Duiven,20,2026-04-11,Lommel SK,Club NXT U23,6.4,23,,,0.0,0,0,0.2,0.0,1,2,0,0,0,0,0,4
Robin van Duiven,20,2026-03-15,Lommel SK,Royal Francs Borains,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Robin van Duiven,20,2026-03-11,KAA Gent Reserve U23,Lommel SK,6.3,56,,,0.0,0,0,0.56,0.05,10,11,1,0,0,0,1,17
Robin van Duiven,20,2026-03-07,Lommel SK,KV Kortrijk,6.7,68,,,0.0,0,0,0.08,0.25,8,15,1,0,0,0,0,26
Robin van Duiven,20,2026-03-01,Lommel SK,RFC Seraing,6.8,78,,,0.0,0,0,0.29,0.08,14,18,1,0,0,0,1,26
Robin van Duiven,20,2026-02-21,KSC Lokeren,Lommel SK,7.4,59,,,0.0,1,0,0.58,0.02,13,15,0,0,0,0,4,25
Robin van Duiven,20,2026-02-14,Lommel SK,RSCA Futures U23,7.5,66,,,0.0,1,0,0.4,0.04,18,21,1,0,0,0,2,25
Robin van Duiven,20,2026-02-08,SK Beveren,Lommel SK,6.9,31,,,0.0,0,0,0.43,0.0,1,1,0,0,0,0,0,7
Robin van Duiven,20,2026-02-02,Jong PSV Eindhoven,SC Cambuur,6.2,74,,,0.0,0,0,0.27,0.13,11,14,2,0,0,0,0,25
Robin van Duiven,20,2026-01-26,Jong PSV Eindhoven,Helmond Sport,6.1,87,,,0.0,0,0,0.44,0.01,7,10,1,0,1,0,1,23
