Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Ilyas Lefrancq,22,2026-04-27,K. Beerschot V.A.,Patro Eisden Maasmechelen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ilyas Lefrancq,22,2026-04-23,Patro Eisden Maasmechelen,K. Beerschot V.A.,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ilyas Lefrancq,22,2026-04-17,Patro Eisden Maasmechelen,Royal Francs Borains,6.5,8,,,0.0,0,0,0.0,0.0,1,3,0,0,0,0,0,5
Ilyas Lefrancq,22,2026-04-05,RFC Seraing,Patro Eisden Maasmechelen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ilyas Lefrancq,22,2026-03-20,Patro Eisden Maasmechelen,K. Beerschot V.A.,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ilyas Lefrancq,22,2026-03-13,Koninklijke Lierse Sportkring,Patro Eisden Maasmechelen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ilyas Lefrancq,22,2026-03-10,Patro Eisden Maasmechelen,RFC Liège,,3,,,0.0,0,0,0.04,0.01,4,4,0,0,0,0,0,9
Ilyas Lefrancq,22,2026-03-07,RSCA Futures U23,Patro Eisden Maasmechelen,6.3,59,,,0.0,0,0,0.05,0.0,5,8,1,0,0,0,2,22
Ilyas Lefrancq,22,2026-02-22,Patro Eisden Maasmechelen,SK Beveren,6.4,8,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2
Ilyas Lefrancq,22,2026-02-13,Club NXT U23,Patro Eisden Maasmechelen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ilyas Lefrancq,22,2026-02-06,Patro Eisden Maasmechelen,Jong KRC Genk U23,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ilyas Lefrancq,22,2026-01-31,Lommel SK,Patro Eisden Maasmechelen,6.4,15,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,0,5
Ilyas Lefrancq,22,2026-01-27,Patro Eisden Maasmechelen,OC Charleroi,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ilyas Lefrancq,22,2026-01-24,RWDM Brussels,Patro Eisden Maasmechelen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ilyas Lefrancq,22,2026-01-17,Patro Eisden Maasmechelen,KV Kortrijk,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
