Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Milan Robberechts,22,2026-04-27,K. Beerschot V.A.,Patro Eisden Maasmechelen,6.5,102,,,0.0,0,0,0.19,0.29,12,17,3,0,0,0,4,43
Milan Robberechts,22,2026-04-23,Patro Eisden Maasmechelen,K. Beerschot V.A.,6.8,71,,,0.0,0,0,0.0,0.0,3,3,0,0,0,0,3,15
Milan Robberechts,22,2026-04-17,Patro Eisden Maasmechelen,Royal Francs Borains,9.6,83,,,0.0,2,0,0.75,0.1,11,15,2,0,0,0,5,42
Milan Robberechts,22,2026-04-05,RFC Seraing,Patro Eisden Maasmechelen,7.2,90,,,0.0,0,0,0.31,0.17,6,12,1,0,0,0,6,39
Milan Robberechts,22,2026-03-20,Patro Eisden Maasmechelen,K. Beerschot V.A.,6.1,79,,,0.0,0,0,0.06,0.19,6,9,1,0,0,0,5,33
Milan Robberechts,22,2026-03-13,Koninklijke Lierse Sportkring,Patro Eisden Maasmechelen,6.8,82,,,0.0,0,0,0.17,0.33,14,15,2,0,1,0,6,48
Milan Robberechts,22,2026-03-10,Patro Eisden Maasmechelen,RFC Liège,7.2,90,,,0.0,0,0,0.02,0.11,18,21,3,0,0,0,4,52
Milan Robberechts,22,2026-03-07,RSCA Futures U23,Patro Eisden Maasmechelen,6.5,90,,,0.0,0,0,0.0,0.05,9,11,0,0,1,0,2,38
Milan Robberechts,22,2026-02-27,KAA Gent Reserve U23,Patro Eisden Maasmechelen,6.8,72,,,0.0,0,0,0.0,0.05,8,8,1,0,0,0,2,26
Milan Robberechts,22,2026-02-22,Patro Eisden Maasmechelen,SK Beveren,6.6,90,,,0.0,0,0,0.0,0.02,8,12,1,0,0,0,5,40
Milan Robberechts,22,2026-02-13,Club NXT U23,Patro Eisden Maasmechelen,6.7,89,,,0.0,0,0,0.16,0.38,9,11,1,0,1,0,2,39
Milan Robberechts,22,2026-02-06,Patro Eisden Maasmechelen,Jong KRC Genk U23,7.4,90,,,0.0,0,0,0.05,0.01,5,10,0,0,1,0,3,45
Milan Robberechts,22,2026-01-31,Lommel SK,Patro Eisden Maasmechelen,6.3,87,,,0.0,0,0,0.0,0.02,2,6,1,0,0,0,1,29
Milan Robberechts,22,2026-01-27,Patro Eisden Maasmechelen,OC Charleroi,7.2,88,,,0.0,0,0,0.06,0.21,9,12,1,0,3,0,5,46
Milan Robberechts,22,2026-01-24,RWDM Brussels,Patro Eisden Maasmechelen,6.6,90,,,0.0,0,0,0.25,0.48,11,12,1,0,0,0,1,46
