Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Raphaël Sarfo,22,2026-04-27,K. Beerschot V.A.,Patro Eisden Maasmechelen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Raphaël Sarfo,22,2026-04-23,Patro Eisden Maasmechelen,K. Beerschot V.A.,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Raphaël Sarfo,22,2026-04-05,RFC Seraing,Patro Eisden Maasmechelen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Raphaël Sarfo,22,2026-03-20,Patro Eisden Maasmechelen,K. Beerschot V.A.,6.8,11,,,0.0,0,0,0.0,0.0,2,2,0,0,0,0,1,5
Raphaël Sarfo,22,2026-03-13,Koninklijke Lierse Sportkring,Patro Eisden Maasmechelen,6.6,8,,,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,3
Raphaël Sarfo,22,2026-03-10,Patro Eisden Maasmechelen,RFC Liège,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Raphaël Sarfo,22,2026-03-07,RSCA Futures U23,Patro Eisden Maasmechelen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Raphaël Sarfo,22,2026-02-27,KAA Gent Reserve U23,Patro Eisden Maasmechelen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Raphaël Sarfo,22,2026-02-22,Patro Eisden Maasmechelen,SK Beveren,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Raphaël Sarfo,22,2026-02-13,Club NXT U23,Patro Eisden Maasmechelen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Raphaël Sarfo,22,2025-12-21,KSC Lokeren,Patro Eisden Maasmechelen,6.1,13,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2
Raphaël Sarfo,22,2025-12-18,Patro Eisden Maasmechelen,KAS Eupen,6.6,13,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,0,3
Raphaël Sarfo,22,2025-12-13,K. Beerschot V.A.,Patro Eisden Maasmechelen,6.6,12,,,0.0,0,0,0.0,0.0,0,2,0,0,0,0,2,6
Raphaël Sarfo,22,2025-12-05,OC Charleroi,Patro Eisden Maasmechelen,,1,,,0.0,0,0,0.0,0.16,1,1,1,0,0,0,0,3
Raphaël Sarfo,22,2025-11-29,Patro Eisden Maasmechelen,KAA Gent Reserve U23,6.5,8,,,0.0,0,0,0.0,0.0,0,1,0,0,0,0,1,5
