Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Patrick Pflücke,29,2026-05-10,Royal Antwerp FC,RC Sporting Charleroi,6.8,16,,,0.0,0,0,0.0,0.08,6,7,1,0,0,0,1,10
Patrick Pflücke,29,2026-05-02,RC Sporting Charleroi,KRC Genk,6.6,13,,,0.0,0,0,0.04,0.01,5,5,0,0,0,0,0,9
Patrick Pflücke,29,2026-04-25,Oud-Heverlee Leuven,RC Sporting Charleroi,6.4,59,,,0.0,0,0,0.39,0.03,17,23,0,0,0,0,2,30
Patrick Pflücke,29,2026-04-21,KRC Genk,RC Sporting Charleroi,6.8,63,,,0.0,0,0,0.03,0.25,13,19,1,0,0,0,2,27
Patrick Pflücke,29,2026-04-18,RC Sporting Charleroi,Standard Liège,7.9,84,,,0.0,0,0,0.13,0.75,25,30,2,0,0,0,1,43
Patrick Pflücke,29,2026-04-10,RC Sporting Charleroi,Royal Antwerp FC,8.7,72,,,0.0,1,0,1.08,0.03,19,22,0,0,0,0,1,33
Patrick Pflücke,29,2026-04-05,KVC Westerlo,RC Sporting Charleroi,6.8,83,,,0.0,0,0,0.06,0.14,37,47,1,0,0,0,0,60
Patrick Pflücke,29,2026-03-22,SV Zulte Waregem,RC Sporting Charleroi,6.5,80,,,0.0,0,0,0.12,0.07,31,39,0,0,1,0,3,52
Patrick Pflücke,29,2026-03-14,RC Sporting Charleroi,Oud-Heverlee Leuven,7.9,90,,,0.0,0,0,0.14,1.06,32,39,8,0,0,0,2,59
Patrick Pflücke,29,2026-03-07,FCV Dender,RC Sporting Charleroi,7.2,45,,,0.0,0,0,0.08,0.52,17,20,3,0,0,0,2,32
Patrick Pflücke,29,2026-03-01,RC Sporting Charleroi,Club Brugge KV,6.5,14,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1
Patrick Pflücke,29,2026-02-22,KVC Westerlo,RC Sporting Charleroi,6.7,66,,,0.0,0,0,0.04,0.14,24,25,1,0,0,0,2,36
Patrick Pflücke,29,2026-02-14,RC Sporting Charleroi,KAA Gent,7.7,78,,,0.0,0,0,0.16,0.61,40,41,6,0,0,0,1,56
Patrick Pflücke,29,2026-02-11,Royale Union Saint-Gilloise,RC Sporting Charleroi,6.1,71,,,0.0,0,0,0.0,0.0,12,19,1,0,0,0,2,24
Patrick Pflücke,29,2026-02-07,RC Sporting Charleroi,Cercle Brugge,7.1,90,,,0.0,0,0,0.06,0.19,40,49,1,0,0,0,1,78
