Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Andreas Verstraeten,20,2026-04-18,Royal Antwerp FC,Oud-Heverlee Leuven,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andreas Verstraeten,20,2026-04-10,RC Sporting Charleroi,Royal Antwerp FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andreas Verstraeten,20,2026-04-03,Royal Antwerp FC,KRC Genk,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andreas Verstraeten,20,2026-03-22,Oud-Heverlee Leuven,Royal Antwerp FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andreas Verstraeten,20,2026-03-15,Royal Antwerp FC,Standard Liège,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andreas Verstraeten,20,2026-03-06,RAAL La Louvière,Royal Antwerp FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andreas Verstraeten,20,2026-02-21,Royale Union Saint-Gilloise,Royal Antwerp FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Andreas Verstraeten,20,2026-02-15,Royal Antwerp FC,KVC Westerlo,6.4,45,,,0.0,0,0,0.0,0.0,20,26,0,0,0,0,3,32
Andreas Verstraeten,20,2026-02-12,Royal Antwerp FC,RSC Anderlecht,6.7,45,,,0.0,0,0,0.0,0.0,11,17,1,0,0,0,1,31
Andreas Verstraeten,20,2026-02-08,KV Mechelen,Royal Antwerp FC,6.9,90,,,0.0,0,0,0.0,0.05,64,70,2,0,0,0,9,83
Andreas Verstraeten,20,2026-02-05,RSC Anderlecht,Royal Antwerp FC,7.2,85,,,0.0,0,0,0.0,0.0,19,24,1,0,0,0,2,45
Andreas Verstraeten,20,2026-01-31,Cercle Brugge,Royal Antwerp FC,7.0,90,,,0.0,0,0,0.0,0.03,60,69,0,0,2,0,9,80
Andreas Verstraeten,20,2026-01-25,Royal Antwerp FC,RC Sporting Charleroi,7.6,90,,,0.0,0,0,0.0,0.03,58,71,0,0,1,0,4,84
Andreas Verstraeten,20,2026-01-18,FCV Dender,Royal Antwerp FC,6.8,31,,,0.0,0,0,0.0,0.01,27,32,1,0,0,0,4,37
