Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Xander Dierckx,17,2026-05-10,Royal Antwerp FC,RC Sporting Charleroi,6.7,87,,,0.0,0,0,0.15,0.04,12,21,1,0,1,0,4,33
Xander Dierckx,17,2026-05-03,Royal Antwerp FC,Standard Liège,6.1,90,,,0.0,0,0,0.0,0.03,33,37,1,0,0,0,3,49
Xander Dierckx,17,2026-04-25,KVC Westerlo,Royal Antwerp FC,6.7,90,,,0.0,0,0,0.08,0.03,19,24,0,0,1,0,5,44
Xander Dierckx,17,2026-04-21,Standard Liège,Royal Antwerp FC,6.3,90,,,0.0,0,0,0.13,0.06,26,31,1,0,0,0,6,44
Xander Dierckx,17,2026-04-18,Royal Antwerp FC,Oud-Heverlee Leuven,7.7,79,,,0.0,1,0,0.2,0.01,12,14,1,0,0,0,5,23
Xander Dierckx,17,2026-04-10,RC Sporting Charleroi,Royal Antwerp FC,6.7,19,,,0.0,0,0,0.0,0.0,9,9,0,0,0,0,1,12
Xander Dierckx,17,2026-04-03,Royal Antwerp FC,KRC Genk,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Xander Dierckx,17,2026-03-28,Belgium U17,Serbia U17,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Xander Dierckx,17,2026-03-25,Belgium U17,Switzerland U17,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Xander Dierckx,17,2026-03-22,Oud-Heverlee Leuven,Royal Antwerp FC,6.6,71,,,0.0,0,0,0.0,0.01,10,15,0,0,1,0,6,27
Xander Dierckx,17,2026-03-06,RAAL La Louvière,Royal Antwerp FC,5.0,11,,,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,6
Xander Dierckx,17,2026-02-28,Royal Antwerp FC,Sint-Truidense VV,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Xander Dierckx,17,2026-02-15,Royal Antwerp FC,KVC Westerlo,6.0,90,,,0.0,0,0,0.0,0.0,8,19,0,0,1,0,3,36
Xander Dierckx,17,2026-02-12,Royal Antwerp FC,RSC Anderlecht,6.1,90,,,0.0,0,0,0.0,0.0,7,10,0,0,1,0,0,28
