Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Guilherme Smith,22,2026-05-10,Royale Union Saint-Gilloise,KV Mechelen,6.5,65,,,0.0,0,0,0.03,0.06,13,19,1,0,0,0,6,25
Guilherme Smith,22,2026-05-02,Sint-Truidense VV,Royale Union Saint-Gilloise,6.2,90,,,0.0,0,0,0.0,0.0,8,14,0,0,0,0,6,23
Guilherme Smith,22,2026-04-26,RSC Anderlecht,Royale Union Saint-Gilloise,8.3,81,,,0.0,1,0,0.16,0.09,21,23,0,0,2,0,5,47
Guilherme Smith,22,2026-04-22,Royale Union Saint-Gilloise,KAA Gent,6.7,63,,,0.0,0,0,0.0,0.01,4,7,0,0,0,0,2,15
Guilherme Smith,22,2026-04-19,Royale Union Saint-Gilloise,Club Brugge KV,6.9,90,,,0.0,0,0,0.02,0.01,17,19,0,0,1,0,4,40
Guilherme Smith,22,2026-04-12,KV Mechelen,Royale Union Saint-Gilloise,6.8,90,,,0.0,0,0,0.0,0.03,13,15,1,0,5,0,3,38
Guilherme Smith,22,2026-04-04,Royale Union Saint-Gilloise,Sint-Truidense VV,7.5,82,,,0.0,1,0,0.01,0.09,18,21,2,0,0,0,4,48
Guilherme Smith,22,2026-03-22,Sint-Truidense VV,Royale Union Saint-Gilloise,7.3,75,,,0.0,0,0,0.06,0.18,17,21,3,0,2,0,6,46
Guilherme Smith,22,2026-03-14,Royale Union Saint-Gilloise,FCV Dender,6.9,86,,,0.0,0,0,0.06,0.03,23,28,0,0,0,0,3,50
Guilherme Smith,22,2026-03-07,Royale Union Saint-Gilloise,KRC Genk,6.8,90,,,0.0,0,0,0.07,0.2,18,19,1,0,1,0,7,45
Guilherme Smith,22,2026-03-01,KVC Westerlo,Royale Union Saint-Gilloise,6.3,24,,,0.0,0,0,0.0,0.0,4,7,0,0,0,0,2,13
Guilherme Smith,22,2026-02-21,Royale Union Saint-Gilloise,Royal Antwerp FC,6.9,67,,,0.0,0,0,0.02,0.01,10,12,0,0,0,0,3,28
Guilherme Smith,22,2026-02-14,Standard Liège,Royale Union Saint-Gilloise,7.7,45,,,0.0,1,0,0.06,0.01,14,17,0,0,0,0,2,23
Guilherme Smith,22,2026-02-11,Royale Union Saint-Gilloise,RC Sporting Charleroi,6.8,80,,,0.0,0,0,0.0,0.0,13,16,0,0,2,0,6,37
Guilherme Smith,22,2026-02-08,Royale Union Saint-Gilloise,RAAL La Louvière,8.2,90,,,0.0,1,0,0.13,0.14,22,27,1,0,1,0,8,62
